"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","5 - 9세",-,-,-,-,-,-,-,-,93966,89250,84782,78308,71580,65705,61141,57679,55734,55266,56268,58093,60675,63336,65854,68108,70056,71695,73032,74105,74953,75418,75355,74846,73965,72773,71514,70398,69380,68392,67370
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","10 - 14세",-,-,-,-,-,-,-,-,102654,101907,101717,101430,99101,95174,90247,85213,78749,72011,66165,61630,58145,56140,55608,56536,58305,60862,63540,66079,68342,70298,71944,73285,74359,75207,75676,75614,75104,74222,73019
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","15 - 19세",-,-,-,-,-,-,-,-,105190,103932,101640,101770,103552,104681,103804,103172,102842,100523,96600,91683,86638,80176,73451,67635,63151,59678,57657,57116,57994,59707,62252,64955,67532,69815,71788,73445,74794,75878,76732
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","20 - 24세",-,-,-,-,-,-,-,-,132220,131538,130413,121977,114003,110123,108186,106090,106481,108155,109173,108218,107605,107265,105034,101313,96621,91752,85534,79149,73712,69585,66337,64443,63945,64760,66398,68920,71622,74187,76440
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","25 - 29세",-,-,-,-,-,-,-,-,133270,134654,137102,138356,138352,135016,131298,126891,119062,112123,108981,107723,106013,106348,107899,108801,107762,107227,107049,105043,101612,97253,92788,87052,81055,75990,72163,69030,67147,66561,67196
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","30 - 34세",-,-,-,-,-,-,-,-,133301,137636,142030,144165,146542,146684,146074,145202,145389,144285,140103,135568,130634,122880,116011,112905,111863,110302,110557,112081,112997,111959,111458,111300,109329,105884,101450,96892,91022,84832,79642
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","35 - 39세",-,-,-,-,-,-,-,-,146177,141698,140978,140734,140382,142467,145655,148830,151342,153910,153961,153051,151762,151409,149764,145118,140034,134721,126883,119878,116704,115772,114283,114468,116011,116966,115921,115399,115232,113250,109703
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","40 - 44세",-,-,-,-,-,-,-,-,168393,171735,172395,166229,160093,152913,147030,144453,144424,144435,147033,150796,154367,157098,159783,159773,158662,157113,156426,154449,149490,144040,138477,130548,123411,120155,119300,117848,117967,119536,120522
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","45 - 49세",-,-,-,-,-,-,-,-,166446,163736,162244,165545,169625,175855,179041,177986,171638,165258,157826,151773,149179,149282,149543,152499,156687,160551,163432,166195,166126,164859,163108,162183,159975,154784,149043,143266,135233,127942,124601
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","50 - 54세",-,-,-,-,-,-,-,-,178722,182710,182444,182057,178319,174436,171143,168503,171509,175548,181715,184773,183624,177164,170573,162925,156715,154092,154297,154753,158008,162557,166673,169700,172575,172498,171117,169234,168131,165750,160363
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","55 - 59세",-,-,-,-,-,-,-,-,164487,164612,175573,175713,183776,188026,192006,190962,190207,185964,181592,177905,174900,177692,181776,187995,191033,189872,183314,176488,168586,162174,159497,159803,160446,163992,168920,173324,176555,179583,179535
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","60 - 64세",-,-,-,-,-,-,-,-,173363,180050,178709,179757,172396,173663,173668,184133,184723,192932,197244,201330,200228,199163,194477,189660,185618,182292,184943,189168,195532,198635,197486,190791,183687,175488,168843,166103,166514,167364,171229
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","65 - 69세",-,-,-,-,-,-,-,-,129281,139166,149902,159078,172266,178602,185165,183864,184783,177647,179058,179078,189463,190461,198745,203121,207258,206118,204794,199753,194612,190348,186850,189500,193902,200405,203548,202361,195539,188233,179865
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","70 - 74세",-,-,-,-,-,-,-,-,98516,100456,103315,111648,122228,129092,139282,150186,159537,172696,179053,185554,184416,185298,178504,180064,180184,190445,191775,200039,204435,208575,207464,206031,200892,195677,191394,187903,190600,195139,201714
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","75 - 79세",-,-,-,-,-,-,-,-,73246,73987,77706,83906,89039,93185,95495,98727,107148,117525,124481,134469,145115,154471,167366,173601,179953,178968,179949,173756,175474,175800,185811,187487,195634,200041,204203,203314,201952,197006,191955
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","80세이상",-,-,-,-,-,-,-,-,121678,126990,130737,133711,134417,140142,145966,152106,159177,163279,171111,177526,185146,198361,210627,223182,237175,252736,272013,293400,308508,324829,335617,351461,362450,374913,387084,403082,415816,429968,441837
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","80 - 84세",-,-,-,-,-,-,-,-,65422,67302,66375,65684,63445,63393,64811,68605,74231,78652,82622,84991,88298,96426,106028,112739,122013,131872,140859,152923,158664,164524,163669,164891,159745,161701,162486,172013,174145,181947,186258
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","85 - 89세",-,-,-,-,-,-,-,-,39941,41583,44050,45036,45273,48529,50707,50486,50153,48459,49036,50746,54057,58678,61978,65459,67664,70735,77928,85893,91687,99339,107494,115440,125758,130531,135475,134800,136315,132752,134811
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","90 - 94세",-,-,-,-,-,-,-,-,13272,14759,16424,18627,20856,22533,23923,25639,26397,26766,29139,30694,30722,30575,29470,30409,32009,34369,37411,39218,41681,43320,45636,50935,56286,60380,65577,71148,77063,84395,87442
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","95 - 99세",-,-,-,-,-,-,-,-,2625,2859,3415,3882,4313,5083,5814,6527,7437,8334,9047,9640,10420,10793,11028,12244,12983,13017,12935,12377,13108,14060,15204,16595,17211,18498,19396,20651,23457,25963,27951
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","계","100세 이상",-,-,-,-,-,-,-,-,418,487,473,482,530,604,711,849,959,1068,1267,1455,1649,1889,2123,2331,2506,2743,2880,2989,3368,3586,3614,3600,3450,3803,4150,4470,4836,4911,5375
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","계",-,-,-,-,-,-,-,-,1123401,1136445,1152064,1159093,1166092,1173148,1180191,1187170,1194030,1200800,1207384,1213734,1219821,1225626,1231110,1236273,1240953,1244987,1248378,1251188,1253416,1255017,1255971,1256314,1256070,1255180,1253639,1251426,1248588,1245112,1240920
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","0 - 4세",-,-,-,-,-,-,-,-,33280,30996,29581,28541,28193,28785,29766,31127,32474,33748,34890,35881,36713,37391,37932,38358,38591,38555,38291,37839,37222,36571,35993,35464,34951,34421,33847,33209,32504,31736,30930
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","5 - 9세",-,-,-,-,-,-,-,-,48046,45770,43276,40042,36760,33692,31381,29610,28550,28179,28733,29668,31018,32380,33673,34828,35828,36669,37355,37908,38344,38582,38551,38291,37840,37229,36586,36013,35492,34985,34460
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","10 - 14세",-,-,-,-,-,-,-,-,53206,52618,52564,52369,51001,48885,46425,43682,40443,37119,34043,31735,29936,28841,28446,28964,29868,31206,32578,33884,35051,36061,36908,37600,38154,38591,38833,38802,38541,38089,37470
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","15 - 19세",-,-,-,-,-,-,-,-,54434,54238,53129,52896,53828,54363,53751,53446,53221,51869,49775,47308,44552,41319,37969,34892,32601,30787,29671,29278,29774,30645,31979,33366,34702,35886,36910,37769,38470,39034,39475
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","20 - 24세",-,-,-,-,-,-,-,-,71138,70364,69265,65016,61168,59723,58695,57453,57389,58334,58841,58215,57907,57664,56364,54368,51941,49227,46058,42736,39740,37533,35740,34649,34295,34774,35615,36972,38398,39774,40982
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","25 - 29세",-,-,-,-,-,-,-,-,76542,78534,80315,80373,79694,77095,74426,71711,67490,63755,62310,61460,60452,60437,61358,61792,61139,60862,60684,59511,57622,55276,52722,49688,46380,43470,41346,39547,38444,38050,38423
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","30 - 34세",-,-,-,-,-,-,-,-,74900,78241,81190,83075,84777,85097,85130,84572,84065,82932,80052,77088,74094,69805,66010,64494,63748,62853,62812,63719,64148,63516,63227,63052,61915,59999,57581,54976,51839,48388,45432
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","35 - 39세",-,-,-,-,-,-,-,-,79407,77608,77932,78297,78505,80103,82369,84563,86542,88243,88440,88147,87242,86472,85115,82083,78911,75728,71361,67468,65879,65177,64333,64266,65179,65616,64991,64684,64510,63377,61404
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","40 - 44세",-,-,-,-,-,-,-,-,90768,92485,92952,90002,86854,83218,80324,79538,79993,80393,82271,84871,87282,89325,91041,91162,90658,89544,88613,87103,83947,80622,77312,72872,68887,67219,66550,65740,65647,66572,67024
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","45 - 49세",-,-,-,-,-,-,-,-,88472,87126,86731,88550,91310,94659,96296,95694,92660,89367,85600,82618,81807,82325,82864,84945,87796,90370,92458,94185,94242,93577,92304,91257,89644,86391,82938,79517,75013,70933,69198
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","50 - 54세",-,-,-,-,-,-,-,-,94863,97172,97329,97182,94789,92612,91046,89939,91581,94299,97589,99181,98574,95490,92081,88210,85151,84317,84885,85538,87788,90847,93557,95692,97454,97483,96699,95321,94188,92493,89159
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","55 - 59세",-,-,-,-,-,-,-,-,86116,86013,91762,91928,96516,99171,101532,101250,100911,98296,95903,94136,92821,94346,97072,100367,101970,101404,98295,94785,90814,87674,86814,87438,88197,90605,93871,96730,98948,100774,100803
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","60 - 64세",-,-,-,-,-,-,-,-,87938,91868,91770,93075,89555,90393,90378,95696,96119,100751,103416,105845,105574,105096,102307,99732,97801,96323,97779,100571,103933,105604,105096,101949,98323,94231,90994,90110,90804,91690,94275
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","65 - 69세",-,-,-,-,-,-,-,-,63762,68998,74694,79533,86579,90127,93999,93923,95131,91790,92723,92692,97908,98588,103242,105944,108427,108179,107598,104687,101995,99967,98403,99871,102761,106202,107930,107451,104277,100579,96431
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","70 - 74세",-,-,-,-,-,-,-,-,47116,48010,49367,53632,59130,62884,68294,73982,78876,85829,89350,93156,93173,94351,91263,92297,92328,97436,98334,102955,105661,108149,107949,107336,104440,101767,99767,98242,99761,102733,106216
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","75 - 79세",-,-,-,-,-,-,-,-,32321,33404,35859,39030,41301,43305,44470,46025,50276,55558,59289,64486,69927,74749,81447,84847,88528,88618,89824,87141,88274,88439,93352,94452,98956,101643,104124,104075,103543,100848,98347
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","80세이상",-,-,-,-,-,-,-,-,41092,43000,44348,45552,46132,49036,51909,54959,58309,60338,64159,67247,70841,77047,82926,88990,95667,102909,111782,121880,128982,136777,141731,149071,153992,159653,165057,172268,178209,185057,190891
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","80 - 84세",-,-,-,-,-,-,-,-,24495,25462,25480,25642,25305,26249,27546,29767,32488,34318,36196,37367,38921,42878,47534,50976,55593,60407,64879,70925,73922,77203,77284,78551,76528,77769,78205,82759,84111,88327,90896
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","85 - 89세",-,-,-,-,-,-,-,-,12804,13340,14119,14464,14671,15969,16958,17127,17314,17116,18066,19229,20936,22943,24156,25706,26720,28060,31286,34806,37524,41010,44639,48265,53041,55312,57891,57968,59263,58127,59354
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","90 - 94세",-,-,-,-,-,-,-,-,3209,3589,4066,4693,5345,5853,6276,6753,6984,7170,7970,8562,8693,8809,8703,9426,10224,11231,12350,12907,13885,14534,15401,17446,19478,21129,23170,25310,27663,30649,31932
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","95 - 99세",-,-,-,-,-,-,-,-,522,542,623,691,747,892,1046,1215,1414,1616,1782,1918,2089,2181,2263,2581,2803,2849,2884,2839,3182,3517,3888,4285,4429,4841,5113,5483,6350,7116,7769
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","남자","100세 이상",-,-,-,-,-,-,-,-,62,67,60,62,64,73,83,97,109,118,145,171,202,236,270,301,327,362,383,403,469,513,519,524,516,602,678,748,822,838,940
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","계",-,-,-,-,-,-,-,-,1062595,1068151,1077289,1081047,1084940,1089072,1093377,1097798,1102329,1106861,1111320,1115712,1119993,1124148,1128195,1132090,1135702,1138940,1141805,1144365,1146567,1148418,1149924,1150998,1151552,1151583,1151015,1149754,1147688,1144896,1141387
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","0 - 4세",-,-,-,-,-,-,-,-,31806,29543,28085,27215,27168,27671,28601,29844,31140,32356,33450,34395,35191,35839,36358,36769,36987,36948,36697,36262,35676,35055,34502,33995,33503,32994,32445,31838,31164,30429,29654
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","5 - 9세",-,-,-,-,-,-,-,-,45920,43480,41506,38266,34820,32013,29760,28069,27184,27087,27535,28425,29657,30956,32181,33280,34228,35026,35677,36197,36609,36836,36804,36555,36125,35544,34928,34385,33888,33407,32910
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","10 - 14세",-,-,-,-,-,-,-,-,49448,49289,49153,49061,48100,46289,43822,41531,38306,34892,32122,29895,28209,27299,27162,27572,28437,29656,30962,32195,33291,34237,35036,35685,36205,36616,36843,36812,36563,36133,35549
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","15 - 19세",-,-,-,-,-,-,-,-,50756,49694,48511,48874,49724,50318,50053,49726,49621,48654,46825,44375,42086,38857,35482,32743,30550,28891,27986,27838,28220,29062,30273,31589,32830,33929,34878,35676,36324,36844,37257
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","20 - 24세",-,-,-,-,-,-,-,-,61082,61174,61148,56961,52835,50400,49491,48637,49092,49821,50332,50003,49698,49601,48670,46945,44680,42525,39476,36413,33972,32052,30597,29794,29650,29986,30783,31948,33224,34413,35458
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","25 - 29세",-,-,-,-,-,-,-,-,56728,56120,56787,57983,58658,57921,56872,55180,51572,48368,46671,46263,45561,45911,46541,47009,46623,46365,46365,45532,43990,41977,40066,37364,34675,32520,30817,29483,28703,28511,28773
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","30 - 34세",-,-,-,-,-,-,-,-,58401,59395,60840,61090,61765,61587,60944,60630,61324,61353,60051,58480,56540,53075,50001,48411,48115,47449,47745,48362,48849,48443,48231,48248,47414,45885,43869,41916,39183,36444,34210
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","35 - 39세",-,-,-,-,-,-,-,-,66770,64090,63046,62437,61877,62364,63286,64267,64800,65667,65521,64904,64520,64937,64649,63035,61123,58993,55522,52410,50825,50595,49950,50202,50832,51350,50930,50715,50722,49873,48299
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","40 - 44세",-,-,-,-,-,-,-,-,77625,79250,79443,76227,73239,69695,66706,64915,64431,64042,64762,65925,67085,67773,68742,68611,68004,67569,67813,67346,65543,63418,61165,57676,54524,52936,52750,52108,52320,52964,53498
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","45 - 49세",-,-,-,-,-,-,-,-,77974,76610,75513,76995,78315,81196,82745,82292,78978,75891,72226,69155,67372,66957,66679,67554,68891,70181,70974,72010,71884,71282,70804,70926,70331,68393,66105,63749,60220,57009,55403
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","50 - 54세",-,-,-,-,-,-,-,-,83859,85538,85115,84875,83530,81824,80097,78564,79928,81249,84126,85592,85050,81674,78492,74715,71564,69775,69412,69215,70220,71710,73116,74008,75121,75015,74418,73913,73943,73257,71204
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","55 - 59세",-,-,-,-,-,-,-,-,78371,78599,83811,83785,87260,88855,90474,89712,89296,87668,85689,83769,82079,83346,84704,87628,89063,88468,85019,81703,77772,74500,72683,72365,72249,73387,75049,76594,77607,78809,78732
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","60 - 64세",-,-,-,-,-,-,-,-,85425,88182,86939,86682,82841,83270,83290,88437,88604,92181,93828,95485,94654,94067,92170,89928,87817,85969,87164,88597,91599,93031,92390,88842,85364,81257,77849,75993,75710,75674,76954
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","65 - 69세",-,-,-,-,-,-,-,-,65519,70168,75208,79545,85687,88475,91166,89941,89652,85857,86335,86386,91555,91873,95503,97177,98831,97939,97196,95066,92617,90381,88447,89629,91141,94203,95618,94910,91262,87654,83434
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","70 - 74세",-,-,-,-,-,-,-,-,51400,52446,53948,58016,63098,66208,70988,76204,80661,86867,89703,92398,91243,90947,87241,87767,87856,93009,93441,97084,98774,100426,99515,98695,96452,93910,91627,89661,90839,92406,95498
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","75 - 79세",-,-,-,-,-,-,-,-,40925,40583,41847,44876,47738,49880,51025,52702,56872,61967,65192,69983,75188,79722,85919,88754,91425,90350,90125,86615,87200,87361,92459,93035,96678,98398,100079,99239,98409,96158,93608
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","80세이상",-,-,-,-,-,-,-,-,80586,83990,86389,88159,88285,91106,94057,97147,100868,102941,106952,110279,114305,121314,127701,134192,141508,149827,160231,171520,179526,188052,193886,202390,208458,215260,222027,230814,237607,244911,250946
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","80 - 84세",-,-,-,-,-,-,-,-,40927,41840,40895,40042,38140,37144,37265,38838,41743,44334,46426,47624,49377,53548,58494,61763,66420,71465,75980,81998,84742,87321,86385,86340,83217,83932,84281,89254,90034,93620,95362
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","85 - 89세",-,-,-,-,-,-,-,-,27137,28243,29931,30572,30602,32560,33749,33359,32839,31343,30970,31517,33121,35735,37822,39753,40944,42675,46642,51087,54163,58329,62855,67175,72717,75219,77584,76832,77052,74625,75457
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","90 - 94세",-,-,-,-,-,-,-,-,10063,11170,12358,13934,15511,16680,17647,18886,19413,19596,21169,22132,22029,21766,20767,20983,21785,23138,25061,26311,27796,28786,30235,33489,36808,39251,42407,45838,49400,53746,55510
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","95 - 99세",-,-,-,-,-,-,-,-,2103,2317,2792,3191,3566,4191,4768,5312,6023,6718,7265,7722,8331,8612,8765,9663,10180,10168,10051,9538,9926,10543,11316,12310,12782,13657,14283,15168,17107,18847,20182
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제이동-고위 / 국내이동-중위)","충청남도","여자","100세 이상",-,-,-,-,-,-,-,-,356,420,413,420,466,531,628,752,850,950,1122,1284,1447,1653,1853,2030,2179,2381,2497,2586,2899,3073,3095,3076,2934,3201,3472,3722,4014,4073,4435
"저위 추계(최소인구 추계: 출산율-저위 / 기대수명-저위 / 국제이동-저위 / 국내이동-중위)","충청남도","계","계",-,-,-,-,-,-,-,-,2185996,2203998,2218172,2218408,2217684,2216610,2215335,2213745,2211872,2209645,2206857,2203465,2199486,2194866,2189579,2183590,2176845,2169195,2160615,2151289,2141164,2130139,2118183,2105344,2091480,2076609,2060790,2043982,2026203,2007387,1987417
"저위 추계(최소인구 추계: 출산율-저위 / 기대수명-저위 / 국제이동-저위 / 국내이동-중위)","충청남도","계","0 - 4세",-,-,-,-,-,-,-,-,65086,60430,56891,53651,50856,48874,47517,46834,46607,47057,47718,48207,48505,48606,48521,48282,47835,47145,46287,45318,44290,43317,42499,41791,41151,40522,39842,39068,38170,37124,35936
"저위 추계(최소인구 추계: 출산율-저위 / 기대수명-저위 / 국제이동-저위 / 국내이동-중위)","충청남도","계","5 - 9세",-,-,-,-,-,-,-,-,93966,89250,84614,77979,71093,65053,60186,56135,52894,50055,47996,46570,45865,45656,46132,46803,47297,47597,47699,47620,47383,46937,46256,45410,44455,43443,42495,41693,41003,40388,39775
"저위 추계(최소인구 추계: 출산율-저위 / 기대수명-저위 / 국제이동-저위 / 국내이동-중위)","충청남도","계","10 - 14세",-,-,-,-,-,-,-,-,102654,101905,101570,101150,98685,94623,89578,84424,77836,70979,64996,60187,56137,52860,49974,47856,46368,45628,45412,45893,46566,47061,47357,47452,47361,47121,46680,45998,45151,44196,43187
"저위 추계(최소인구 추계: 출산율-저위 / 기대수명-저위 / 국제이동-저위 / 국내이동-중위)","충청남도","계","15 - 19세",-,-,-,-,-,-,-,-,105190,103929,101288,101269,102927,103934,102933,102188,101728,99284,95254,90244,85104,78546,71731,65810,61080,57072,53800,50905,48732,47178,46405,46204,46708,47386,47881,48176,48268,48180,47931
"저위 추계(최소인구 추계: 출산율-저위 / 기대수명-저위 / 국제이동-저위 / 국내이동-중위)","충청남도","계","20 - 24세",-,-,-,-,-,-,-,-,132220,131536,128898,119556,111002,106762,104590,102344,102634,104187,105078,104021,103317,102863,100538,96766,92044,87149,80917,74546,69107,64815,61111,58035,55240,53064,51507,50809,50713,51285,51959
"저위 추계(최소인구 추계: 출산율-저위 / 기대수명-저위 / 국제이동-저위 / 국내이동-중위)","충청남도","계","25 - 29세",-,-,-,-,-,-,-,-,133270,134649,135531,135448,134149,129640,124948,119764,111379,104116,100761,99317,97495,97748,99182,99956,98837,98239,97979,95922,92502,88208,83813,78170,72314,67353,63454,59972,57035,54336,52200
"저위 추계(최소인구 추계: 출산율-저위 / 기대수명-저위 / 국제이동-저위 / 국내이동-중위)","충청남도","계","30 - 34세",-,-,-,-,-,-,-,-,133301,137632,140878,142042,143436,142571,140924,138987,138078,135877,130697,125318,119690,111450,104305,101012,99786,98117,98295,99699,100473,99362,98805,98573,96563,93155,88807,84351,78620,72611,67561
"저위 추계(최소인구 추계: 출산율-저위 / 기대수명-저위 / 국제이동-저위 / 국내이동-중위)","충청남도","계","35 - 39세",-,-,-,-,-,-,-,-,146177,141694,140119,139137,138030,139324,141686,143996,145634,147304,146430,144565,142289,140894,138198,132586,126694,120719,112418,105168,101823,100708,99105,99212,100623,101430,100318,99749,99506,97482,93992
"저위 추계(최소인구 추계: 출산율-저위 / 기대수명-저위 / 국제이동-저위 / 국내이동-중위)","충청남도","계","40 - 44세",-,-,-,-,-,-,-,-,168393,171730,171666,164836,158060,150253,143749,140530,139830,139142,140989,143943,146666,148533,150330,149423,147386,144883,143184,140183,134286,128057,121842,113477,106118,102708,101674,100114,100161,101591,102426
