"시·군·구별(1)","시·군·구별(2)",성별(1),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"시·군·구별(1)","시·군·구별(2)",성별(1),계,계,계,계,계,계,계,일반,일반,일반,일반,일반,일반,일반,감경,감경,감경,감경,감경,감경,감경,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,기초,기초,기초,기초,기초,기초,기초,계,계,계,계,계,계,계,일반,일반,일반,일반,일반,일반,일반,감경,감경,감경,감경,감경,감경,감경,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,기초,기초,기초,기초,기초,기초,기초,계,계,계,계,계,계,계,일반,일반,일반,일반,일반,일반,일반,감경,감경,감경,감경,감경,감경,감경,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,기초,기초,기초,기초,기초,기초,기초,계,계,계,계,계,계,계,일반,일반,일반,일반,일반,일반,일반,감경,감경,감경,감경,감경,감경,감경,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,기초,기초,기초,기초,기초,기초,기초,계,계,계,계,계,계,계,계,일반,일반,일반,일반,일반,일반,일반,일반,감경,감경,감경,감경,감경,감경,감경,감경,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,기초,기초,기초,기초,기초,기초,기초,기초,계,계,계,계,계,계,계,계,일반,일반,일반,일반,일반,일반,일반,일반,감경,감경,감경,감경,감경,감경,감경,감경,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,기초,기초,기초,기초,기초,기초,기초,기초,계,계,계,계,계,계,계,계,일반,일반,일반,일반,일반,일반,일반,일반,감경,감경,감경,감경,감경,감경,감경,감경,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,기초,기초,기초,기초,기초,기초,기초,기초,계,계,계,계,계,계,계,계,일반,일반,일반,일반,일반,일반,일반,일반,감경,감경,감경,감경,감경,감경,감경,감경,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,기초,기초,기초,기초,기초,기초,기초,기초,계,계,계,계,계,계,계,계,일반,일반,일반,일반,일반,일반,일반,일반,감경,감경,감경,감경,감경,감경,감경,감경,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,기초,기초,기초,기초,기초,기초,기초,기초,계,계,계,계,계,계,계,계,일반,일반,일반,일반,일반,일반,일반,일반,감경,감경,감경,감경,감경,감경,감경,감경,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,기초,기초,기초,기초,기초,기초,기초,기초,계,계,계,계,계,계,계,계,일반,일반,일반,일반,일반,일반,일반,일반,감경,감경,감경,감경,감경,감경,감경,감경,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,의료급여,기초,기초,기초,기초,기초,기초,기초,기초
"시·군·구별(1)","시·군·구별(2)",성별(1),계,1등급,2등급,3등급,4등급,5등급,등급외,계,1등급,2등급,3등급,4등급,5등급,등급외,계,1등급,2등급,3등급,4등급,5등급,등급외,계,1등급,2등급,3등급,4등급,5등급,등급외,계,1등급,2등급,3등급,4등급,5등급,등급외,계,1등급,2등급,3등급,4등급,5등급,등급외,계,1등급,2등급,3등급,4등급,5등급,등급외,계,1등급,2등급,3등급,4등급,5등급,등급외,계,1등급,2등급,3등급,4등급,5등급,등급외,계,1등급,2등급,3등급,4등급,5등급,등급외,계,1등급,2등급,3등급,4등급,5등급,등급외,계,1등급,2등급,3등급,4등급,5등급,등급외,계,1등급,2등급,3등급,4등급,5등급,등급외,계,1등급,2등급,3등급,4등급,5등급,등급외,계,1등급,2등급,3등급,4등급,5등급,등급외,계,1등급,2등급,3등급,4등급,5등급,등급외,계,1등급,2등급,3등급,4등급,5등급,등급외,계,1등급,2등급,3등급,4등급,5등급,등급외,계,1등급,2등급,3등급,4등급,5등급,등급외,계,1등급,2등급,3등급,4등급,5등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외,계,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외
"충남","아산시",합계,2424,135,387,689,510,53,650,1672,102,247,476,360,39,448,328,21,80,122,78,10,17,26,1,6,6,6,0,7,398,11,54,85,66,4,178,2638,149,404,730,624,93,638,1795,106,254,500,432,69,434,372,26,89,125,106,15,11,26,1,4,7,6,0,8,445,16,57,98,80,9,185,2857,165,413,783,707,148,641,1964,121,263,531,502,109,438,380,21,77,140,107,24,11,32,1,7,8,5,2,9,481,22,66,104,93,13,183,3326,183,436,783,976,253,695,2314,128,279,526,694,189,498,461,29,84,142,157,40,9,36,1,5,8,12,1,9,515,25,68,107,113,23,179,3687,193,463,841,1164,322,58,646,2113,97,232,460,656,174,26,468,997,73,163,271,350,107,22,11,41,3,5,11,11,5,-,6,536,20,63,99,147,36,10,161,4229,189,471,1051,1438,402,95,583,2353,96,238,539,783,218,51,428,1220,75,168,360,443,130,30,14,38,3,3,12,14,2,2,2,618,15,62,140,198,52,12,139,4701,179,495,1192,1668,470,142,555,2560,94,254,635,852,249,68,408,1409,66,172,400,561,152,46,12,37,1,1,14,13,3,4,1,695,18,68,143,242,66,24,134,5306,222,515,1321,1894,582,186,586,2737,121,251,642,900,285,94,444,1768,80,199,497,707,208,65,12,39,0,1,10,18,6,0,4,762,21,64,172,269,83,27,126,5589,213,513,1314,2021,685,226,617,2780,107,237,617,912,315,119,473,1940,82,202,508,802,254,72,20,39,1,3,9,15,7,2,2,830,23,71,180,292,109,33,122,6070,258,518,1437,2111,820,294,632,3030,121,232,672,981,386,153,485,2123,102,216,565,828,299,98,15,41,0,8,6,14,7,5,1,876,35,62,194,288,128,38,131,6546,264,505,1543,2418,939,274,603,3125,120,208,674,1094,437,132,460,2407,99,217,653,976,353,92,17,50,1,7,7,21,6,5,3,964,44,73,209,327,143,45,123
"충남","아산시",남자,627,32,86,203,139,8,159,485,27,64,156,110,7,121,58,3,16,23,14,0,2,8,0,1,3,2,0,2,76,2,5,21,13,1,34,710,35,104,215,176,26,154,527,27,79,160,125,22,114,79,5,17,26,28,2,1,7,0,1,3,1,0,2,97,3,7,26,22,2,37,745,37,106,229,186,30,157,554,29,76,166,147,20,116,80,4,14,33,21,6,2,10,0,2,3,2,1,2,101,4,14,27,16,3,37,849,40,106,211,244,66,182,626,30,73,155,180,53,135,94,4,20,28,30,9,3,13,1,0,3,5,0,4,116,5,13,25,29,4,40,973,46,115,239,296,81,20,176,592,25,62,145,174,49,7,130,236,16,36,68,85,20,8,3,14,1,-,4,4,2,-,3,131,4,17,22,33,10,5,40,1130,50,117,291,389,101,24,158,657,21,67,164,222,58,12,113,298,21,36,91,110,30,7,3,12,1,-,2,8,1,-,-,163,7,14,34,49,12,5,42,1244,42,120,326,435,114,43,164,700,20,72,187,220,62,21,118,329,16,31,95,138,34,13,2,12,0,0,3,6,2,1,0,203,6,17,41,71,16,8,44,1432,52,134,343,505,148,60,190,766,29,72,177,245,72,28,143,428,16,45,119,176,49,22,1,10,0,0,2,4,3,0,1,228,7,17,45,80,24,10,45,1524,46,126,342,539,204,66,201,790,30,54,177,259,86,32,152,470,14,46,120,188,76,20,6,11,0,1,2,4,3,1,0,253,2,25,43,88,39,13,43,1665,50,130,374,562,270,81,198,872,25,57,193,276,137,39,145,516,20,49,136,198,82,26,5,10,0,5,1,2,1,1,0,267,5,19,44,86,50,15,48,1818,51,115,426,651,298,88,189,931,25,52,212,313,153,37,139,589,21,41,153,246,91,31,6,11,0,4,1,2,2,1,1,287,5,18,60,90,52,19,43
"충남","아산시",여자,1797,103,301,486,371,45,491,1187,75,183,320,250,32,327,270,18,64,99,64,10,15,18,1,5,3,4,0,5,322,9,49,64,53,3,144,1928,114,300,515,448,67,484,1268,79,175,340,307,47,320,293,21,72,99,78,13,10,19,1,3,4,5,0,6,348,13,50,72,58,7,148,2112,128,307,554,521,118,484,1410,92,187,365,355,89,322,300,17,63,107,86,18,9,22,1,5,5,3,1,7,380,18,52,77,77,10,146,2477,143,330,572,732,187,513,1688,98,206,371,514,136,363,367,25,64,114,127,31,6,23,0,5,5,7,1,5,399,20,55,82,84,19,139,2714,147,348,602,868,241,38,470,1521,72,170,315,482,125,19,338,761,57,127,203,265,87,14,8,27,2,5,7,7,3,-,3,405,16,46,77,114,26,5,121,3099,139,354,760,1049,301,71,425,1696,75,171,375,561,160,39,315,922,54,132,269,333,100,23,11,26,2,3,10,6,1,2,2,455,8,48,106,149,40,7,97,3457,137,375,866,1233,356,99,391,1860,74,182,448,632,187,47,290,1080,50,141,305,423,118,33,10,25,1,1,11,7,1,3,1,492,12,51,102,171,50,16,90,3874,170,381,978,1389,434,126,396,1971,92,179,465,655,213,66,301,1340,64,154,378,531,159,43,11,29,0,1,8,14,3,0,3,534,14,47,127,189,59,17,81,4065,167,387,972,1482,481,160,416,1990,77,183,440,653,229,87,321,1470,68,156,388,614,178,52,14,28,1,2,7,11,4,1,2,577,21,46,137,204,70,20,79,4405,208,388,1063,1549,550,213,434,2158,96,175,479,705,249,114,340,1607,82,167,429,630,217,72,10,31,0,3,5,12,6,4,1,609,30,43,150,202,78,23,83,4728,213,390,1117,1767,641,186,414,2194,95,156,462,781,284,95,321,1818,78,176,500,730,262,61,11,39,1,3,6,19,4,4,2,677,39,55,149,237,91,26,80
