"행정구역별(읍면동)","연령별","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"염치읍","40~44세","총인구_남자(명)","","347","","","","","249","","","255","217",
"염치읍","40~44세","총인구_여자(명)","","212","","","","","187","","","157","136",
"염치읍","40~44세","총인구_성비","","163.7","","","","","133.2","","","162.4","159.6",
"염치읍","40~44세","내국인(명)","","514","","","","","399","","","366","315",
"염치읍","40~44세","내국인_남자(명)","","314","","","","","223","","","221","190",
"염치읍","40~44세","내국인_여자(명)","","200","","","","","176","","","145","125",
"염치읍","40~44세","내국인_성비","","157","","","","","126.7","","","152.4","152",
"염치읍","45~49세","총인구(명)","","506","","","","","468","","","358","346",
"염치읍","45~49세","총인구_남자(명)","","286","","","","","285","","","208","198",
"염치읍","45~49세","총인구_여자(명)","","220","","","","","183","","","150","148",
"염치읍","45~49세","총인구_성비","","130","","","","","155.7","","","138.7","133.8",
"염치읍","45~49세","내국인(명)","","480","","","","","447","","","338","319",
"염치읍","45~49세","내국인_남자(명)","","268","","","","","269","","","196","181",
"염치읍","45~49세","내국인_여자(명)","","212","","","","","178","","","142","138",
"염치읍","45~49세","내국인_성비","","126.4","","","","","151.1","","","138","131.2",
"염치읍","50~54세","총인구(명)","","550","","","","","540","","","544","508",
"염치읍","50~54세","총인구_남자(명)","","306","","","","","290","","","308","293",
"염치읍","50~54세","총인구_여자(명)","","244","","","","","250","","","236","215",
"염치읍","50~54세","총인구_성비","","125.4","","","","","116","","","130.5","136.3",
"염치읍","50~54세","내국인(명)","","533","","","","","522","","","520","487",
"염치읍","50~54세","내국인_남자(명)","","294","","","","","280","","","292","277",
"염치읍","50~54세","내국인_여자(명)","","239","","","","","242","","","228","210",
"염치읍","50~54세","내국인_성비","","123","","","","","115.7","","","128.1","131.9",
"염치읍","55~59세","총인구(명)","","622","","","","","584","","","557","553",
"염치읍","55~59세","총인구_남자(명)","","310","","","","","310","","","284","301",
"염치읍","55~59세","총인구_여자(명)","","312","","","","","274","","","273","252",
"염치읍","55~59세","총인구_성비","","99.4","","","","","113.1","","","104","119.4",
"염치읍","55~59세","내국인(명)","","607","","","","","575","","","548","539",
"염치읍","55~59세","내국인_남자(명)","","301","","","","","305","","","279","293",
"염치읍","55~59세","내국인_여자(명)","","306","","","","","270","","","269","246",
"염치읍","55~59세","내국인_성비","","98.4","","","","","113","","","103.7","119.1",
"염치읍","60~64세","총인구(명)","","478","","","","","652","","","680","656",
"염치읍","60~64세","총인구_남자(명)","","239","","","","","325","","","364","341",
"염치읍","60~64세","총인구_여자(명)","","239","","","","","327","","","316","315",
"염치읍","60~64세","총인구_성비","","100","","","","","99.4","","","115.2","108.3",
"염치읍","60~64세","내국인(명)","","462","","","","","642","","","672","650",
"염치읍","60~64세","내국인_남자(명)","","232","","","","","321","","","363","340",
"염치읍","60~64세","내국인_여자(명)","","230","","","","","321","","","309","310",
"염치읍","60~64세","내국인_성비","","100.9","","","","","100","","","117.5","109.7",
"염치읍","65~69세","총인구(명)","","409","","","","","460","","","575","590",
"염치읍","65~69세","총인구_남자(명)","","203","","","","","213","","","287","302",
"염치읍","65~69세","총인구_여자(명)","","206","","","","","247","","","288","288",
"염치읍","65~69세","총인구_성비","","98.5","","","","","86.2","","","99.7","104.9",
"염치읍","65~69세","내국인(명)","","404","","","","","456","","","568","586",
"염치읍","65~69세","내국인_남자(명)","","200","","","","","212","","","284","300",
"염치읍","65~69세","내국인_여자(명)","","204","","","","","244","","","284","286",
"염치읍","65~69세","내국인_성비","","98","","","","","86.9","","","100","104.9",
"염치읍","70~74세","총인구(명)","","374","","","","","363","","","370","399",
"염치읍","70~74세","총인구_남자(명)","","171","","","","","178","","","165","186",
"염치읍","70~74세","총인구_여자(명)","","203","","","","","185","","","205","213",
"염치읍","70~74세","총인구_성비","","84.2","","","","","96.2","","","80.5","87.3",
"염치읍","70~74세","내국인(명)","","372","","","","","362","","","367","396",
"염치읍","70~74세","내국인_남자(명)","","170","","","","","177","","","164","185",
"염치읍","70~74세","내국인_여자(명)","","202","","","","","185","","","203","211",
"염치읍","70~74세","내국인_성비","","84.2","","","","","95.7","","","80.8","87.7",
"염치읍","75~79세","총인구(명)","","399","","","","","332","","","321","320",
"염치읍","75~79세","총인구_남자(명)","","168","","","","","148","","","149","152",
"염치읍","75~79세","총인구_여자(명)","","231","","","","","184","","","172","168",
"염치읍","75~79세","총인구_성비","","72.7","","","","","80.4","","","86.6","90.5",
"염치읍","75~79세","내국인(명)","","399","","","","","330","","","321","320",
"염치읍","75~79세","내국인_남자(명)","","168","","","","","148","","","149","152",
"염치읍","75~79세","내국인_여자(명)","","231","","","","","182","","","172","168",
"염치읍","75~79세","내국인_성비","","72.7","","","","","81.3","","","86.6","90.5",
"염치읍","80~84세","총인구(명)","","249","","","","","296","","","302","282",
"염치읍","80~84세","총인구_남자(명)","","97","","","","","112","","","111","102",
"염치읍","80~84세","총인구_여자(명)","","152","","","","","184","","","191","180",
"염치읍","80~84세","총인구_성비","","63.8","","","","","60.9","","","58.1","56.7",
"염치읍","80~84세","내국인(명)","","249","","","","","296","","","302","282",
"염치읍","80~84세","내국인_남자(명)","","97","","","","","112","","","111","102",
"염치읍","80~84세","내국인_여자(명)","","152","","","","","184","","","191","180",
"염치읍","80~84세","내국인_성비","","63.8","","","","","60.9","","","58.1","56.7",
"염치읍","85~89세","총인구(명)","","94","","","","","170","","","189","202",
"염치읍","85~89세","총인구_남자(명)","","26","","","","","62","","","68","71",
"염치읍","85~89세","총인구_여자(명)","","68","","","","","108","","","121","131",
"염치읍","85~89세","총인구_성비","","38.2","","","","","57.4","","","56.2","54.2",
"염치읍","85~89세","내국인(명)","","94","","","","","170","","","189","202",
"염치읍","85~89세","내국인_남자(명)","","26","","","","","62","","","68","71",
"염치읍","85~89세","내국인_여자(명)","","68","","","","","108","","","121","131",
"염치읍","85~89세","내국인_성비","","38.2","","","","","57.4","","","56.2","54.2",
"염치읍","90~94세","총인구(명)","","45","","","","","40","","","62","71",
"염치읍","90~94세","총인구_남자(명)","","9","","","","","9","","","25","24",
"염치읍","90~94세","총인구_여자(명)","","36","","","","","31","","","37","47",
"염치읍","90~94세","총인구_성비","","25","","","","","29","","","67.6","51.1",
"염치읍","90~94세","내국인(명)","","45","","","","","40","","","62","71",
"염치읍","90~94세","내국인_남자(명)","","9","","","","","9","","","25","24",
"염치읍","90~94세","내국인_여자(명)","","36","","","","","31","","","37","47",
"염치읍","90~94세","내국인_성비","","25","","","","","29","","","67.6","51.1",
"염치읍","95~99세","총인구(명)","","11","","","","","10","","","6","7",
"염치읍","95~99세","총인구_남자(명)","","X","","","","","X","","","X","X",
"염치읍","95~99세","총인구_여자(명)","","9","","","","","9","","","6","7",
"염치읍","95~99세","총인구_성비","","22.2","","","","","11.1","","","0","0",
"염치읍","95~99세","내국인(명)","","11","","","","","10","","","6","7",
"염치읍","95~99세","내국인_남자(명)","","X","","","","","X","","","X","X",
"염치읍","95~99세","내국인_여자(명)","","9","","","","","9","","","6","7",
"염치읍","95~99세","내국인_성비","","22.2","","","","","11.1","","","0","0",
"염치읍","100세이상","총인구(명)","","X","","","","","X","","","X","X",
"염치읍","100세이상","총인구_남자(명)","","X","","","","","X","","","X","X",
"염치읍","100세이상","총인구_여자(명)","","X","","","","","X","","","X","X",
"염치읍","100세이상","총인구_성비","","","","","","","50","","","","",
"염치읍","100세이상","내국인(명)","","X","","","","","X","","","X","X",
"염치읍","100세이상","내국인_남자(명)","","X","","","","","X","","","X","X",
"염치읍","100세이상","내국인_여자(명)","","X","","","","","X","","","X","X",
"염치읍","100세이상","내국인_성비","","","","","","","50","","","","",
"염치읍","15세미만","총인구(명)","","1032","","","","","622","","","408","346",
"염치읍","15세미만","총인구_남자(명)","","543","","","","","314","","","213","180",
"염치읍","15세미만","총인구_여자(명)","","489","","","","","308","","","195","166",
"염치읍","15세미만","총인구_성비","","111","","","","","101.9","","","109.2","108.4",
"염치읍","15세미만","내국인(명)","","1031","","","","","619","","","404","342",
"염치읍","15세미만","내국인_남자(명)","","543","","","","","312","","","211","178",
"염치읍","15세미만","내국인_여자(명)","","488","","","","","307","","","193","164",
"염치읍","15세미만","내국인_성비","","111.3","","","","","101.6","","","109.3","108.5",
"염치읍","15~64세","총인구(명)","","5030","","","","","4225","","","3861","3634",
"염치읍","15~64세","총인구_남자(명)","","2833","","","","","2417","","","2243","2148",
"염치읍","15~64세","총인구_여자(명)","","2197","","","","","1808","","","1618","1486",
"염치읍","15~64세","총인구_성비","","128.9","","","","","133.7","","","138.6","144.5",
"염치읍","15~64세","내국인(명)","","4682","","","","","3923","","","3518","3278",
"염치읍","15~64세","내국인_남자(명)","","2577","","","","","2190","","","1982","1868",
"염치읍","15~64세","내국인_여자(명)","","2105","","","","","1733","","","1536","1410",
"염치읍","15~64세","내국인_성비","","122.4","","","","","126.4","","","129","132.5",
"염치읍","65세이상","총인구(명)","","1581","","","","","1674","","","1825","1871",
"염치읍","65세이상","총인구_남자(명)","","676","","","","","724","","","805","837",
"염치읍","65세이상","총인구_여자(명)","","905","","","","","950","","","1020","1034",
"염치읍","65세이상","총인구_성비","","74.7","","","","","76.2","","","78.9","80.9",
"염치읍","65세이상","내국인(명)","","1574","","","","","1667","","","1815","1864",
"염치읍","65세이상","내국인_남자(명)","","672","","","","","722","","","801","834",
"염치읍","65세이상","내국인_여자(명)","","902","","","","","945","","","1014","1030",
"염치읍","65세이상","내국인_성비","","74.5","","","","","76.4","","","79","81",
"염치읍","85세이상","총인구(명)","","150","","","","","223","","","257","280",
"염치읍","85세이상","총인구_남자(명)","","37","","","","","73","","","93","95",
"염치읍","85세이상","총인구_여자(명)","","113","","","","","150","","","164","185",
"염치읍","85세이상","총인구_성비","","32.7","","","","","48.7","","","56.7","51.4",
"염치읍","85세이상","내국인(명)","","150","","","","","223","","","257","280",
"염치읍","85세이상","내국인_남자(명)","","37","","","","","73","","","93","95",
"염치읍","85세이상","내국인_여자(명)","","113","","","","","150","","","164","185",
"염치읍","85세이상","내국인_성비","","32.7","","","","","48.7","","","56.7","51.4",
"염치읍","평균연령","총인구(명)","","44.1","","","","","49.2","","","52","53.1",
"염치읍","평균연령","총인구_남자(명)","","42.2","","","","","47","","","49.7","50.6",
"염치읍","평균연령","총인구_여자(명)","","46.3","","","","","51.5","","","54.6","56",
"염치읍","평균연령","내국인(명)","","44.5","","","","","49.8","","","52.9","54.2",
"염치읍","평균연령","내국인_남자(명)","","42.6","","","","","47.9","","","50.9","52",
"염치읍","평균연령","내국인_여자(명)","","46.5","","","","","51.8","","","55.1","56.5",
"염치읍","중위연령","총인구(명)","","44.2","","","","","51.7","","","55.1","56.4",
"염치읍","중위연령","총인구_남자(명)","","42.1","","","","","48.7","","","52","53.3",
"염치읍","중위연령","총인구_여자(명)","","47.7","","","","","55.3","","","58.6","60.1",
"염치읍","중위연령","내국인(명)","","45.1","","","","","52.9","","","56.5","57.9",
"염치읍","중위연령","내국인_남자(명)","","43","","","","","50.3","","","54","55.4",
"염치읍","중위연령","내국인_여자(명)","","48.2","","","","","55.8","","","59.2","60.6",
"배방읍","합계","총인구(명)","","68783","","","","","76130","","","86956","92653",
"배방읍","합계","총인구_남자(명)","","35132","","","","","39045","","","44741","47694",
"배방읍","합계","총인구_여자(명)","","33651","","","","","37085","","","42215","44959",
"배방읍","합계","총인구_성비","","104.4","","","","","105.3","","","106","106.1",
"배방읍","합계","내국인(명)","","67730","","","","","74608","","","84669","90147",
"배방읍","합계","내국인_남자(명)","","34617","","","","","38234","","","43548","46440",
"배방읍","합계","내국인_여자(명)","","33113","","","","","36374","","","41121","43707",
"배방읍","합계","내국인_성비","","104.5","","","","","105.1","","","105.9","106.3",
"배방읍","0~4세","총인구(명)","","6130","","","","","4115","","","3410","3625",
"배방읍","0~4세","총인구_남자(명)","","3138","","","","","2101","","","1786","1876",
"배방읍","0~4세","총인구_여자(명)","","2992","","","","","2014","","","1624","1749",
"배방읍","0~4세","총인구_성비","","104.9","","","","","104.3","","","110","107.3",
"배방읍","0~4세","내국인(명)","","6117","","","","","4096","","","3375","3599",
"배방읍","0~4세","내국인_남자(명)","","3134","","","","","2090","","","1766","1864",
"배방읍","0~4세","내국인_여자(명)","","2983","","","","","2006","","","1609","1735",
"배방읍","0~4세","내국인_성비","","105.1","","","","","104.2","","","109.8","107.4",
"배방읍","5~9세","총인구(명)","","5024","","","","","5429","","","4843","4799",
"배방읍","5~9세","총인구_남자(명)","","2618","","","","","2787","","","2467","2435",
"배방읍","5~9세","총인구_여자(명)","","2406","","","","","2642","","","2376","2364",
"배방읍","5~9세","총인구_성비","","108.8","","","","","105.5","","","103.8","103",
"배방읍","5~9세","내국인(명)","","5018","","","","","5420","","","4816","4769",
"배방읍","5~9세","내국인_남자(명)","","2617","","","","","2785","","","2451","2415",
"배방읍","5~9세","내국인_여자(명)","","2401","","","","","2635","","","2365","2354",
"배방읍","5~9세","내국인_성비","","109","","","","","105.7","","","103.6","102.6",
"배방읍","10~14세","총인구(명)","","4005","","","","","4954","","","5400","5590",
"배방읍","10~14세","총인구_남자(명)","","2050","","","","","2577","","","2823","2896",
"배방읍","10~14세","총인구_여자(명)","","1955","","","","","2377","","","2577","2694",
"배방읍","10~14세","총인구_성비","","104.9","","","","","108.4","","","109.5","107.5",
"배방읍","10~14세","내국인(명)","","3995","","","","","4950","","","5381","5572",
"배방읍","10~14세","내국인_남자(명)","","2044","","","","","2574","","","2815","2890",
"배방읍","10~14세","내국인_여자(명)","","1951","","","","","2376","","","2566","2682",
"배방읍","10~14세","내국인_성비","","104.8","","","","","108.3","","","109.7","107.8",
"배방읍","15~19세","총인구(명)","","4396","","","","","4126","","","5273","5599",
"배방읍","15~19세","총인구_남자(명)","","2329","","","","","2045","","","2666","2882",
"배방읍","15~19세","총인구_여자(명)","","2067","","","","","2081","","","2607","2717",
"배방읍","15~19세","총인구_성비","","112.7","","","","","98.3","","","102.3","106.1",
"배방읍","15~19세","내국인(명)","","4359","","","","","4102","","","5206","5478",
"배방읍","15~19세","내국인_남자(명)","","2309","","","","","2026","","","2641","2825",
"배방읍","15~19세","내국인_여자(명)","","2050","","","","","2076","","","2565","2653",
"배방읍","15~19세","내국인_성비","","112.6","","","","","97.6","","","103","106.5",
"배방읍","20~24세","총인구(명)","","4441","","","","","5197","","","6172","6433",
"배방읍","20~24세","총인구_남자(명)","","2300","","","","","2727","","","3248","3297",
"배방읍","20~24세","총인구_여자(명)","","2141","","","","","2470","","","2924","3136",
"배방읍","20~24세","총인구_성비","","107.4","","","","","110.4","","","111.1","105.1",
"배방읍","20~24세","내국인(명)","","4197","","","","","4919","","","5728","5959",
"배방읍","20~24세","내국인_남자(명)","","2203","","","","","2580","","","3000","3067",
"배방읍","20~24세","내국인_여자(명)","","1994","","","","","2339","","","2728","2892",
"배방읍","20~24세","내국인_성비","","110.5","","","","","110.3","","","110","106.1",
"배방읍","25~29세","총인구(명)","","5117","","","","","5251","","","6296","7049",
"배방읍","25~29세","총인구_남자(명)","","2368","","","","","2831","","","3351","3792",
"배방읍","25~29세","총인구_여자(명)","","2749","","","","","2420","","","2945","3257",
