"행정구역별(읍면동)","연령별","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"음봉면","100세이상","내국인_성비","","0","","","","","","","","0","0",
"음봉면","15세미만","총인구(명)","","2609","","","","","3647","","","3181","3608",
"음봉면","15세미만","총인구_남자(명)","","1337","","","","","1834","","","1583","1838",
"음봉면","15세미만","총인구_여자(명)","","1272","","","","","1813","","","1598","1770",
"음봉면","15세미만","총인구_성비","","105.1","","","","","101.2","","","99.1","103.8",
"음봉면","15세미만","내국인(명)","","2590","","","","","3604","","","3138","3559",
"음봉면","15세미만","내국인_남자(명)","","1329","","","","","1819","","","1568","1818",
"음봉면","15세미만","내국인_여자(명)","","1261","","","","","1785","","","1570","1741",
"음봉면","15세미만","내국인_성비","","105.4","","","","","101.9","","","99.9","104.4",
"음봉면","15~64세","총인구(명)","","13410","","","","","15397","","","15640","18617",
"음봉면","15~64세","총인구_남자(명)","","8037","","","","","9134","","","9411","11238",
"음봉면","15~64세","총인구_여자(명)","","5373","","","","","6263","","","6229","7379",
"음봉면","15~64세","총인구_성비","","149.6","","","","","145.8","","","151.1","152.3",
"음봉면","15~64세","내국인(명)","","11971","","","","","13896","","","13888","16619",
"음봉면","15~64세","내국인_남자(명)","","6918","","","","","7939","","","7988","9618",
"음봉면","15~64세","내국인_여자(명)","","5053","","","","","5957","","","5900","7001",
"음봉면","15~64세","내국인_성비","","136.9","","","","","133.3","","","135.4","137.4",
"음봉면","65세이상","총인구(명)","","1808","","","","","2379","","","2839","3095",
"음봉면","65세이상","총인구_남자(명)","","732","","","","","1060","","","1309","1454",
"음봉면","65세이상","총인구_여자(명)","","1076","","","","","1319","","","1530","1641",
"음봉면","65세이상","총인구_성비","","68","","","","","80.4","","","85.6","88.6",
"음봉면","65세이상","내국인(명)","","1800","","","","","2360","","","2810","3054",
"음봉면","65세이상","내국인_남자(명)","","728","","","","","1051","","","1296","1435",
"음봉면","65세이상","내국인_여자(명)","","1072","","","","","1309","","","1514","1619",
"음봉면","65세이상","내국인_성비","","67.9","","","","","80.3","","","85.6","88.6",
"음봉면","85세이상","총인구(명)","","159","","","","","250","","","304","330",
"음봉면","85세이상","총인구_남자(명)","","36","","","","","51","","","74","83",
"음봉면","85세이상","총인구_여자(명)","","123","","","","","199","","","230","247",
"음봉면","85세이상","총인구_성비","","29.3","","","","","25.6","","","32.2","33.6",
"음봉면","85세이상","내국인(명)","","159","","","","","250","","","304","330",
"음봉면","85세이상","내국인_남자(명)","","36","","","","","51","","","74","83",
"음봉면","85세이상","내국인_여자(명)","","123","","","","","199","","","230","247",
"음봉면","85세이상","내국인_성비","","29.3","","","","","25.6","","","32.2","33.6",
"음봉면","평균연령","총인구(명)","","38","","","","","39.1","","","40.9","40.1",
"음봉면","평균연령","총인구_남자(명)","","37.1","","","","","38.2","","","39.9","39.2",
"음봉면","평균연령","총인구_여자(명)","","39.2","","","","","40.2","","","42.1","41.3",
"음봉면","평균연령","내국인(명)","","38.3","","","","","39.3","","","41.3","40.5",
"음봉면","평균연령","내국인_남자(명)","","37.5","","","","","38.6","","","40.6","39.7",
"음봉면","평균연령","내국인_여자(명)","","39.3","","","","","40.2","","","42.2","41.4",
"음봉면","중위연령","총인구(명)","","36.5","","","","","38.9","","","41","39.6",
"음봉면","중위연령","총인구_남자(명)","","36","","","","","38.3","","","40.1","38.6",
"음봉면","중위연령","총인구_여자(명)","","37.6","","","","","40.1","","","42.5","41.1",
"음봉면","중위연령","내국인(명)","","37.2","","","","","39.6","","","42","40.6",
"음봉면","중위연령","내국인_남자(명)","","36.8","","","","","39.2","","","41.6","40.1",
"음봉면","중위연령","내국인_여자(명)","","37.8","","","","","40.2","","","42.7","41.3",
"둔포면","합계","총인구(명)","","13592","","","","","27006","","","30326","32129",
"둔포면","합계","총인구_남자(명)","","8156","","","","","15861","","","17949","19005",
"둔포면","합계","총인구_여자(명)","","5436","","","","","11145","","","12377","13124",
"둔포면","합계","총인구_성비","","150","","","","","142.3","","","145","144.8",
"둔포면","합계","내국인(명)","","10614","","","","","20824","","","22014","23173",
"둔포면","합계","내국인_남자(명)","","5847","","","","","11778","","","12562","13257",
"둔포면","합계","내국인_여자(명)","","4767","","","","","9046","","","9452","9916",
"둔포면","합계","내국인_성비","","122.7","","","","","130.2","","","132.9","133.7",
"둔포면","0~4세","총인구(명)","","343","","","","","1523","","","1327","1344",
"둔포면","0~4세","총인구_남자(명)","","169","","","","","797","","","695","701",
"둔포면","0~4세","총인구_여자(명)","","174","","","","","726","","","632","643",
"둔포면","0~4세","총인구_성비","","97.1","","","","","109.8","","","110","109",
"둔포면","0~4세","내국인(명)","","325","","","","","1321","","","1026","1030",
"둔포면","0~4세","내국인_남자(명)","","159","","","","","705","","","546","545",
"둔포면","0~4세","내국인_여자(명)","","166","","","","","616","","","480","485",
"둔포면","0~4세","내국인_성비","","95.8","","","","","114.4","","","113.8","112.4",
"둔포면","5~9세","총인구(명)","","409","","","","","1274","","","1567","1593",
"둔포면","5~9세","총인구_남자(명)","","209","","","","","648","","","822","834",
"둔포면","5~9세","총인구_여자(명)","","200","","","","","626","","","745","759",
"둔포면","5~9세","총인구_성비","","104.5","","","","","103.5","","","110.3","109.9",
"둔포면","5~9세","내국인(명)","","394","","","","","1131","","","1277","1281",
"둔포면","5~9세","내국인_남자(명)","","199","","","","","570","","","670","676",
"둔포면","5~9세","내국인_여자(명)","","195","","","","","561","","","607","605",
"둔포면","5~9세","내국인_성비","","102.1","","","","","101.6","","","110.4","111.7",
"둔포면","10~14세","총인구(명)","","370","","","","","950","","","1320","1422",
"둔포면","10~14세","총인구_남자(명)","","190","","","","","473","","","713","744",
"둔포면","10~14세","총인구_여자(명)","","180","","","","","477","","","607","678",
"둔포면","10~14세","총인구_성비","","105.6","","","","","99.2","","","117.5","109.7",
"둔포면","10~14세","내국인(명)","","365","","","","","825","","","1026","1122",
"둔포면","10~14세","내국인_남자(명)","","187","","","","","408","","","548","577",
"둔포면","10~14세","내국인_여자(명)","","178","","","","","417","","","478","545",
"둔포면","10~14세","내국인_성비","","105.1","","","","","97.8","","","114.6","105.9",
"둔포면","15~19세","총인구(명)","","497","","","","","657","","","924","951",
"둔포면","15~19세","총인구_남자(명)","","285","","","","","402","","","545","533",
"둔포면","15~19세","총인구_여자(명)","","212","","","","","255","","","379","418",
"둔포면","15~19세","총인구_성비","","134.4","","","","","157.6","","","143.8","127.5",
"둔포면","15~19세","내국인(명)","","483","","","","","569","","","683","692",
"둔포면","15~19세","내국인_남자(명)","","278","","","","","352","","","391","391",
"둔포면","15~19세","내국인_여자(명)","","205","","","","","217","","","292","301",
"둔포면","15~19세","내국인_성비","","135.6","","","","","162.2","","","133.9","129.9",
"둔포면","20~24세","총인구(명)","","827","","","","","1330","","","1203","1365",
"둔포면","20~24세","총인구_남자(명)","","553","","","","","837","","","790","926",
"둔포면","20~24세","총인구_여자(명)","","274","","","","","493","","","413","439",
"둔포면","20~24세","총인구_성비","","201.8","","","","","169.8","","","191.3","210.9",
"둔포면","20~24세","내국인(명)","","546","","","","","818","","","634","662",
"둔포면","20~24세","내국인_남자(명)","","311","","","","","478","","","382","412",
"둔포면","20~24세","내국인_여자(명)","","235","","","","","340","","","252","250",
"둔포면","20~24세","내국인_성비","","132.3","","","","","140.6","","","151.6","164.8",
"둔포면","25~29세","총인구(명)","","1365","","","","","2437","","","2519","2547",
"둔포면","25~29세","총인구_남자(명)","","1016","","","","","1611","","","1739","1725",
"둔포면","25~29세","총인구_여자(명)","","349","","","","","826","","","780","822",
"둔포면","25~29세","총인구_성비","","291.1","","","","","195","","","222.9","209.9",
"둔포면","25~29세","내국인(명)","","690","","","","","1506","","","1356","1394",
"둔포면","25~29세","내국인_남자(명)","","462","","","","","921","","","866","900",
"둔포면","25~29세","내국인_여자(명)","","228","","","","","585","","","490","494",
"둔포면","25~29세","내국인_성비","","202.6","","","","","157.4","","","176.7","182.2",
"둔포면","30~34세","총인구(명)","","1490","","","","","3254","","","3287","3436",
"둔포면","30~34세","총인구_남자(명)","","1113","","","","","2102","","","2184","2279",
"둔포면","30~34세","총인구_여자(명)","","377","","","","","1152","","","1103","1157",
"둔포면","30~34세","총인구_성비","","295.2","","","","","182.5","","","198","197",
"둔포면","30~34세","내국인(명)","","846","","","","","2086","","","1997","2054",
"둔포면","30~34세","내국인_남자(명)","","575","","","","","1264","","","1225","1254",
"둔포면","30~34세","내국인_여자(명)","","271","","","","","822","","","772","800",
"둔포면","30~34세","내국인_성비","","212.2","","","","","153.8","","","158.7","156.8",
"둔포면","35~39세","총인구(명)","","1181","","","","","3415","","","3519","3709",
"둔포면","35~39세","총인구_남자(명)","","831","","","","","2202","","","2186","2314",
"둔포면","35~39세","총인구_여자(명)","","350","","","","","1213","","","1333","1395",
"둔포면","35~39세","총인구_성비","","237.4","","","","","181.5","","","164","165.9",
"둔포면","35~39세","내국인(명)","","722","","","","","2405","","","2261","2326",
"둔포면","35~39세","내국인_남자(명)","","464","","","","","1475","","","1323","1354",
"둔포면","35~39세","내국인_여자(명)","","258","","","","","930","","","938","972",
"둔포면","35~39세","내국인_성비","","179.8","","","","","158.6","","","141","139.3",
"둔포면","40~44세","총인구(명)","","1086","","","","","2491","","","3427","3694",
"둔포면","40~44세","총인구_남자(명)","","725","","","","","1607","","","2157","2347",
"둔포면","40~44세","총인구_여자(명)","","361","","","","","884","","","1270","1347",
"둔포면","40~44세","총인구_성비","","200.8","","","","","181.8","","","169.8","174.2",
"둔포면","40~44세","내국인(명)","","775","","","","","1816","","","2442","2644",
"둔포면","40~44세","내국인_남자(명)","","488","","","","","1144","","","1508","1638",
"둔포면","40~44세","내국인_여자(명)","","287","","","","","672","","","934","1006",
"둔포면","40~44세","내국인_성비","","170","","","","","170.2","","","161.5","162.8",
"둔포면","45~49세","총인구(명)","","1052","","","","","1995","","","2212","2504",
"둔포면","45~49세","총인구_남자(명)","","638","","","","","1273","","","1414","1585",
"둔포면","45~49세","총인구_여자(명)","","414","","","","","722","","","798","919",
"둔포면","45~49세","총인구_성비","","154.1","","","","","176.3","","","177.2","172.5",
"둔포면","45~49세","내국인(명)","","822","","","","","1504","","","1605","1814",
"둔포면","45~49세","내국인_남자(명)","","486","","","","","959","","","1048","1161",
"둔포면","45~49세","내국인_여자(명)","","336","","","","","545","","","557","653",
"둔포면","45~49세","내국인_성비","","144.6","","","","","176","","","188.2","177.8",
"둔포면","50~54세","총인구(명)","","1142","","","","","1814","","","2093","2215",
"둔포면","50~54세","총인구_남자(명)","","643","","","","","1034","","","1254","1343",
"둔포면","50~54세","총인구_여자(명)","","499","","","","","780","","","839","872",
"둔포면","50~54세","총인구_성비","","128.9","","","","","132.6","","","149.5","154",
"둔포면","50~54세","내국인(명)","","978","","","","","1494","","","1613","1705",
"둔포면","50~54세","내국인_남자(명)","","539","","","","","854","","","972","1059",
"둔포면","50~54세","내국인_여자(명)","","439","","","","","640","","","641","646",
"둔포면","50~54세","내국인_성비","","122.8","","","","","133.4","","","151.6","163.9",
"둔포면","55~59세","총인구(명)","","1077","","","","","1724","","","1759","1861",
"둔포면","55~59세","총인구_남자(명)","","580","","","","","930","","","965","1042",
"둔포면","55~59세","총인구_여자(명)","","497","","","","","794","","","794","819",
"둔포면","55~59세","총인구_성비","","116.7","","","","","117.1","","","121.5","127.2",
"둔포면","55~59세","내국인(명)","","980","","","","","1471","","","1435","1535",
"둔포면","55~59세","내국인_남자(명)","","526","","","","","812","","","803","889",
"둔포면","55~59세","내국인_여자(명)","","454","","","","","659","","","632","646",
"둔포면","55~59세","내국인_성비","","115.9","","","","","123.2","","","127.1","137.6",
"둔포면","60~64세","총인구(명)","","732","","","","","1409","","","1790","1871",
"둔포면","60~64세","총인구_남자(명)","","378","","","","","759","","","977","995",
"둔포면","60~64세","총인구_여자(명)","","354","","","","","650","","","813","876",
"둔포면","60~64세","총인구_성비","","106.8","","","","","116.8","","","120.2","113.6",
"둔포면","60~64세","내국인(명)","","687","","","","","1279","","","1556","1593",
"둔포면","60~64세","내국인_남자(명)","","354","","","","","699","","","869","869",
"둔포면","60~64세","내국인_여자(명)","","333","","","","","580","","","687","724",
"둔포면","60~64세","내국인_성비","","106.3","","","","","120.5","","","126.5","120",
"둔포면","65~69세","총인구(명)","","539","","","","","917","","","1300","1403",
"둔포면","65~69세","총인구_남자(명)","","264","","","","","455","","","656","714",
"둔포면","65~69세","총인구_여자(명)","","275","","","","","462","","","644","689",
"둔포면","65~69세","총인구_성비","","96","","","","","98.5","","","101.9","103.6",
"둔포면","65~69세","내국인(명)","","530","","","","","837","","","1129","1236",
"둔포면","65~69세","내국인_남자(명)","","258","","","","","429","","","594","652",
"둔포면","65~69세","내국인_여자(명)","","272","","","","","408","","","535","584",
"둔포면","65~69세","내국인_성비","","94.9","","","","","105.1","","","111","111.6",
"둔포면","70~74세","총인구(명)","","485","","","","","643","","","714","814",
"둔포면","70~74세","총인구_남자(명)","","211","","","","","312","","","331","382",
"둔포면","70~74세","총인구_여자(명)","","274","","","","","331","","","383","432",
"둔포면","70~74세","총인구_성비","","77","","","","","94.3","","","86.4","88.4",
"둔포면","70~74세","내국인(명)","","483","","","","","611","","","662","740",
"둔포면","70~74세","내국인_남자(명)","","211","","","","","296","","","312","359",
"둔포면","70~74세","내국인_여자(명)","","272","","","","","315","","","350","381",
"둔포면","70~74세","내국인_성비","","77.6","","","","","94","","","89.1","94.2",
"둔포면","75~79세","총인구(명)","","474","","","","","473","","","540","565",
"둔포면","75~79세","총인구_남자(명)","","183","","","","","201","","","256","262",
"둔포면","75~79세","총인구_여자(명)","","291","","","","","272","","","284","303",
"둔포면","75~79세","총인구_성비","","62.9","","","","","73.9","","","90.1","86.5",
"둔포면","75~79세","내국인(명)","","468","","","","","463","","","512","533",
"둔포면","75~79세","내국인_남자(명)","","183","","","","","196","","","245","247",
"둔포면","75~79세","내국인_여자(명)","","285","","","","","267","","","267","286",
"둔포면","75~79세","내국인_성비","","64.2","","","","","73.4","","","91.8","86.4",
"둔포면","80~84세","총인구(명)","","308","","","","","397","","","434","421",
"둔포면","80~84세","총인구_남자(명)","","113","","","","","135","","","158","163",
"둔포면","80~84세","총인구_여자(명)","","195","","","","","262","","","276","258",
"둔포면","80~84세","총인구_성비","","57.9","","","","","51.5","","","57.2","63.2",
"둔포면","80~84세","내국인(명)","","306","","","","","388","","","422","407",
"둔포면","80~84세","내국인_남자(명)","","113","","","","","134","","","153","158",
"둔포면","80~84세","내국인_여자(명)","","193","","","","","254","","","269","249",
"둔포면","80~84세","내국인_성비","","58.5","","","","","52.8","","","56.9","63.5",
"둔포면","85~89세","총인구(명)","","149","","","","","207","","","272","282",
"둔포면","85~89세","총인구_남자(명)","","40","","","","","67","","","78","85",
"둔포면","85~89세","총인구_여자(명)","","109","","","","","140","","","194","197",
"둔포면","85~89세","총인구_성비","","36.7","","","","","47.9","","","40.2","43.1",
"둔포면","85~89세","내국인(명)","","149","","","","","205","","","263","276",
"둔포면","85~89세","내국인_남자(명)","","40","","","","","66","","","78","85",
"둔포면","85~89세","내국인_여자(명)","","109","","","","","139","","","185","191",
"둔포면","85~89세","내국인_성비","","36.7","","","","","47.5","","","42.2","44.5",
"둔포면","90~94세","총인구(명)","","58","","","","","81","","","91","96",
"둔포면","90~94세","총인구_남자(명)","","15","","","","","14","","","24","25",
"둔포면","90~94세","총인구_여자(명)","","43","","","","","67","","","67","71",
"둔포면","90~94세","총인구_성비","","34.9","","","","","20.9","","","35.8","35.2",
"둔포면","90~94세","내국인(명)","","57","","","","","80","","","89","94",
"둔포면","90~94세","내국인_남자(명)","","14","","","","","14","","","24","25",
"둔포면","90~94세","내국인_여자(명)","","43","","","","","66","","","65","69",
"둔포면","90~94세","내국인_성비","","32.6","","","","","21.2","","","36.9","36.2",
"둔포면","95~99세","총인구(명)","","6","","","","","14","","","25","32",
"둔포면","95~99세","총인구_남자(명)","","X","","","","","X","","","5","6",
"둔포면","95~99세","총인구_여자(명)","","6","","","","","12","","","20","26",
"둔포면","95~99세","총인구_성비","","0","","","","","16.7","","","25","23.1",
"둔포면","95~99세","내국인(명)","","6","","","","","14","","","23","31",
"둔포면","95~99세","내국인_남자(명)","","X","","","","","X","","","5","6",
"둔포면","95~99세","내국인_여자(명)","","6","","","","","12","","","18","25",
"둔포면","95~99세","내국인_성비","","0","","","","","16.7","","","27.8","24",
"둔포면","100세이상","총인구(명)","","X","","","","","X","","","X","X",
"둔포면","100세이상","총인구_남자(명)","","X","","","","","X","","","X","X",
"둔포면","100세이상","총인구_여자(명)","","X","","","","","X","","","X","X",
"둔포면","100세이상","총인구_성비","","0","","","","","0","","","0","0",
"둔포면","100세이상","내국인(명)","","X","","","","","X","","","X","X",
"둔포면","100세이상","내국인_남자(명)","","X","","","","","X","","","X","X",
"둔포면","100세이상","내국인_여자(명)","","X","","","","","X","","","X","X",
"둔포면","100세이상","내국인_성비","","0","","","","","0","","","0","0",
"둔포면","15세미만","총인구(명)","","1122","","","","","3747","","","4214","4359",
"둔포면","15세미만","총인구_남자(명)","","568","","","","","1918","","","2230","2279",
"둔포면","15세미만","총인구_여자(명)","","554","","","","","1829","","","1984","2080",
"둔포면","15세미만","총인구_성비","","102.5","","","","","104.9","","","112.4","109.6",
"둔포면","15세미만","내국인(명)","","1084","","","","","3277","","","3329","3433",
"둔포면","15세미만","내국인_남자(명)","","545","","","","","1683","","","1764","1798",
"둔포면","15세미만","내국인_여자(명)","","539","","","","","1594","","","1565","1635",
"둔포면","15세미만","내국인_성비","","101.1","","","","","105.6","","","112.7","110",
"둔포면","15~64세","총인구(명)","","10449","","","","","20526","","","22733","24153",
"둔포면","15~64세","총인구_남자(명)","","6762","","","","","12757","","","14211","15089",
"둔포면","15~64세","총인구_여자(명)","","3687","","","","","7769","","","8522","9064",
"둔포면","15~64세","총인구_성비","","183.4","","","","","164.2","","","166.8","166.5",
"둔포면","15~64세","내국인(명)","","7529","","","","","14948","","","15582","16419",
"둔포면","15~64세","내국인_남자(명)","","4483","","","","","8958","","","9387","9927",
"둔포면","15~64세","내국인_여자(명)","","3046","","","","","5990","","","6195","6492",
"둔포면","15~64세","내국인_성비","","147.2","","","","","149.5","","","151.5","152.9",
"둔포면","65세이상","총인구(명)","","2021","","","","","2733","","","3379","3617",
"둔포면","65세이상","총인구_남자(명)","","826","","","","","1186","","","1508","1637",
"둔포면","65세이상","총인구_여자(명)","","1195","","","","","1547","","","1871","1980",
"둔포면","65세이상","총인구_성비","","69.1","","","","","76.7","","","80.6","82.7",
"둔포면","65세이상","내국인(명)","","2001","","","","","2599","","","3103","3321",
"둔포면","65세이상","내국인_남자(명)","","819","","","","","1137","","","1411","1532",
"둔포면","65세이상","내국인_여자(명)","","1182","","","","","1462","","","1692","1789",
"둔포면","65세이상","내국인_성비","","69.3","","","","","77.8","","","83.4","85.6",
"둔포면","85세이상","총인구(명)","","215","","","","","303","","","391","414",
"둔포면","85세이상","총인구_남자(명)","","55","","","","","83","","","107","116",
"둔포면","85세이상","총인구_여자(명)","","160","","","","","220","","","284","298",
"둔포면","85세이상","총인구_성비","","34.4","","","","","37.7","","","37.7","38.9",
"둔포면","85세이상","내국인(명)","","214","","","","","300","","","378","405",
"둔포면","85세이상","내국인_남자(명)","","54","","","","","82","","","107","116",
"둔포면","85세이상","내국인_여자(명)","","160","","","","","218","","","271","289",
"둔포면","85세이상","내국인_성비","","33.8","","","","","37.6","","","39.5","40.1",
"둔포면","평균연령","총인구(명)","","42.9","","","","","39.1","","","39.8","40",
"둔포면","평균연령","총인구_남자(명)","","40.5","","","","","38.1","","","38.8","39.1",
"둔포면","평균연령","총인구_여자(명)","","46.4","","","","","40.4","","","41.3","41.4",
"둔포면","평균연령","내국인(명)","","44.9","","","","","40.2","","","41.5","41.8",
"둔포면","평균연령","내국인_남자(명)","","42.8","","","","","39.3","","","40.7","41.1",
"둔포면","평균연령","내국인_여자(명)","","47.5","","","","","41.3","","","42.7","42.9",
"둔포면","중위연령","총인구(명)","","41.6","","","","","38.1","","","39.3","39.6",
"둔포면","중위연령","총인구_남자(명)","","38","","","","","37.5","","","38.4","38.7",
"둔포면","중위연령","총인구_여자(명)","","47.8","","","","","39.2","","","40.7","40.9",
"둔포면","중위연령","내국인(명)","","46","","","","","39.5","","","41.4","42",
"둔포면","중위연령","내국인_남자(명)","","43.1","","","","","39.1","","","41.1","41.7",
"둔포면","중위연령","내국인_여자(명)","","50.3","","","","","40.2","","","41.9","42.4",
"영인면","합계","총인구(명)","","7009","","","","","6144","","","6025","6084",
"영인면","합계","총인구_남자(명)","","3972","","","","","3527","","","3484","3580",
"영인면","합계","총인구_여자(명)","","3037","","","","","2617","","","2541","2504",
"영인면","합계","총인구_성비","","130.8","","","","","134.8","","","137.1","143",
"영인면","합계","내국인(명)","","5954","","","","","5256","","","5006","4979",
"영인면","합계","내국인_남자(명)","","3139","","","","","2779","","","2625","2642",
"영인면","합계","내국인_여자(명)","","2815","","","","","2477","","","2381","2337",
"영인면","합계","내국인_성비","","111.5","","","","","112.2","","","110.2","113.1",
"영인면","0~4세","총인구(명)","","88","","","","","55","","","43","44",
"영인면","0~4세","총인구_남자(명)","","57","","","","","21","","","20","23",
"영인면","0~4세","총인구_여자(명)","","31","","","","","34","","","23","21",
"영인면","0~4세","총인구_성비","","183.9","","","","","61.8","","","87","109.5",
"영인면","0~4세","내국인(명)","","85","","","","","53","","","41","40",
"영인면","0~4세","내국인_남자(명)","","54","","","","","21","","","19","20",
"영인면","0~4세","내국인_여자(명)","","31","","","","","32","","","22","20",
"영인면","0~4세","내국인_성비","","174.2","","","","","65.6","","","86.4","100",
"영인면","5~9세","총인구(명)","","129","","","","","90","","","77","82",
"영인면","5~9세","총인구_남자(명)","","72","","","","","50","","","39","46",
"영인면","5~9세","총인구_여자(명)","","57","","","","","40","","","38","36",
"영인면","5~9세","총인구_성비","","126.3","","","","","125","","","102.6","127.8",
"영인면","5~9세","내국인(명)","","126","","","","","88","","","73","80",
"영인면","5~9세","내국인_남자(명)","","70","","","","","50","","","39","46",
"영인면","5~9세","내국인_여자(명)","","56","","","","","38","","","34","34",
"영인면","5~9세","내국인_성비","","125","","","","","131.6","","","114.7","135.3",
"영인면","10~14세","총인구(명)","","199","","","","","104","","","104","103",
"영인면","10~14세","총인구_남자(명)","","111","","","","","54","","","51","51",
"영인면","10~14세","총인구_여자(명)","","88","","","","","50","","","53","52",
"영인면","10~14세","총인구_성비","","126.1","","","","","108","","","96.2","98.1",
"영인면","10~14세","내국인(명)","","199","","","","","100","","","100","101",
"영인면","10~14세","내국인_남자(명)","","111","","","","","54","","","50","51",
"영인면","10~14세","내국인_여자(명)","","88","","","","","46","","","50","50",
"영인면","10~14세","내국인_성비","","126.1","","","","","117.4","","","100","102",
"영인면","15~19세","총인구(명)","","223","","","","","127","","","94","105",
"영인면","15~19세","총인구_남자(명)","","117","","","","","73","","","54","60",
"영인면","15~19세","총인구_여자(명)","","106","","","","","54","","","40","45",
"영인면","15~19세","총인구_성비","","110.4","","","","","135.2","","","135","133.3",
"영인면","15~19세","내국인(명)","","216","","","","","121","","","88","95",
"영인면","15~19세","내국인_남자(명)","","112","","","","","69","","","50","54",
"영인면","15~19세","내국인_여자(명)","","104","","","","","52","","","38","41",
"영인면","15~19세","내국인_성비","","107.7","","","","","132.7","","","131.6","131.7",
"영인면","20~24세","총인구(명)","","425","","","","","259","","","190","205",
"영인면","20~24세","총인구_남자(명)","","291","","","","","171","","","138","139",
"영인면","20~24세","총인구_여자(명)","","134","","","","","88","","","52","66",
"영인면","20~24세","총인구_성비","","217.2","","","","","194.3","","","265.4","210.6",
"영인면","20~24세","내국인(명)","","307","","","","","185","","","120","119",
"영인면","20~24세","내국인_남자(명)","","198","","","","","111","","","78","73",
"영인면","20~24세","내국인_여자(명)","","109","","","","","74","","","42","46",
"영인면","20~24세","내국인_성비","","181.7","","","","","150","","","185.7","158.7",
"영인면","25~29세","총인구(명)","","534","","","","","423","","","422","425",
"영인면","25~29세","총인구_남자(명)","","388","","","","","331","","","330","345",
"영인면","25~29세","총인구_여자(명)","","146","","","","","92","","","92","80",
"영인면","25~29세","총인구_성비","","265.8","","","","","359.8","","","358.7","431.3",
"영인면","25~29세","내국인(명)","","292","","","","","237","","","194","173",
"영인면","25~29세","내국인_남자(명)","","185","","","","","159","","","130","114",
"영인면","25~29세","내국인_여자(명)","","107","","","","","78","","","64","59",
"영인면","25~29세","내국인_성비","","172.9","","","","","203.8","","","203.1","193.2",
"영인면","30~34세","총인구(명)","","513","","","","","394","","","410","426",
"영인면","30~34세","총인구_남자(명)","","358","","","","","314","","","308","338",
"영인면","30~34세","총인구_여자(명)","","155","","","","","80","","","102","88",
"영인면","30~34세","총인구_성비","","231","","","","","392.5","","","302","384.1",
"영인면","30~34세","내국인(명)","","284","","","","","191","","","191","180",
"영인면","30~34세","내국인_남자(명)","","178","","","","","131","","","112","116",
"영인면","30~34세","내국인_여자(명)","","106","","","","","60","","","79","64",
"영인면","30~34세","내국인_성비","","167.9","","","","","218.3","","","141.8","181.3",
"영인면","35~39세","총인구(명)","","408","","","","","360","","","352","362",
"영인면","35~39세","총인구_남자(명)","","302","","","","","257","","","261","276",
"영인면","35~39세","총인구_여자(명)","","106","","","","","103","","","91","86",
"영인면","35~39세","총인구_성비","","284.9","","","","","249.5","","","286.8","320.9",
"영인면","35~39세","내국인(명)","","247","","","","","207","","","160","165",
"영인면","35~39세","내국인_남자(명)","","164","","","","","128","","","96","104",
"영인면","35~39세","내국인_여자(명)","","83","","","","","79","","","64","61",
"영인면","35~39세","내국인_성비","","197.6","","","","","162","","","150","170.5",
"영인면","40~44세","총인구(명)","","429","","","","","321","","","314","315",
"영인면","40~44세","총인구_남자(명)","","279","","","","","235","","","213","215",
"영인면","40~44세","총인구_여자(명)","","150","","","","","86","","","101","100",
"영인면","40~44세","총인구_성비","","186","","","","","273.3","","","210.9","215",
"영인면","40~44세","내국인(명)","","317","","","","","220","","","203","192",
"영인면","40~44세","내국인_남자(명)","","200","","","","","148","","","116","110",
"영인면","40~44세","내국인_여자(명)","","117","","","","","72","","","87","82",
"영인면","40~44세","내국인_성비","","170.9","","","","","205.6","","","133.3","134.1",
"영인면","45~49세","총인구(명)","","472","","","","","377","","","291","294",
"영인면","45~49세","총인구_남자(명)","","275","","","","","245","","","194","191",
"영인면","45~49세","총인구_여자(명)","","197","","","","","132","","","97","103",
"영인면","45~49세","총인구_성비","","139.6","","","","","185.6","","","200","185.4",
"영인면","45~49세","내국인(명)","","394","","","","","317","","","227","230",
"영인면","45~49세","내국인_남자(명)","","218","","","","","196","","","138","137",
"영인면","45~49세","내국인_여자(명)","","176","","","","","121","","","89","93",
"영인면","45~49세","내국인_성비","","123.9","","","","","162","","","155.1","147.3",
"영인면","50~54세","총인구(명)","","620","","","","","419","","","406","378",
"영인면","50~54세","총인구_남자(명)","","364","","","","","234","","","245","230",
"영인면","50~54세","총인구_여자(명)","","256","","","","","185","","","161","148",
"영인면","50~54세","총인구_성비","","142.2","","","","","126.5","","","152.2","155.4",
"영인면","50~54세","내국인(명)","","563","","","","","377","","","353","331",
"영인면","50~54세","내국인_남자(명)","","321","","","","","204","","","207","193",
"영인면","50~54세","내국인_여자(명)","","242","","","","","173","","","146","138",
"영인면","50~54세","내국인_성비","","132.6","","","","","117.9","","","141.8","139.9",
"영인면","55~59세","총인구(명)","","648","","","","","615","","","516","499",
"영인면","55~59세","총인구_남자(명)","","351","","","","","346","","","289","284",
"영인면","55~59세","총인구_여자(명)","","297","","","","","269","","","227","215",
"영인면","55~59세","총인구_성비","","118.2","","","","","128.6","","","127.3","132.1",
