통계연월,통계시도명,통계시군구명,연령,수급자수
202104,서울특별시,종로구,0,5
202104,서울특별시,종로구,1,5
202104,서울특별시,종로구,2,7
202104,서울특별시,종로구,3,3
202104,서울특별시,종로구,4,7
202104,서울특별시,종로구,5,8
202104,서울특별시,종로구,6,10
202104,서울특별시,종로구,7,3
202104,서울특별시,종로구,8,18
202104,서울특별시,종로구,9,24
202104,서울특별시,종로구,10,26
202104,서울특별시,종로구,11,17
202104,서울특별시,종로구,12,36
202104,서울특별시,종로구,13,33
202104,서울특별시,종로구,14,37
202104,서울특별시,종로구,15,35
202104,서울특별시,종로구,16,36
202104,서울특별시,종로구,17,40
202104,서울특별시,종로구,18,46
202104,서울특별시,종로구,19,38
202104,서울특별시,종로구,20,27
202104,서울특별시,종로구,21,24
202104,서울특별시,종로구,22,16
202104,서울특별시,종로구,23,25
202104,서울특별시,종로구,24,24
202104,서울특별시,종로구,25,21
202104,서울특별시,종로구,26,14
202104,서울특별시,종로구,27,18
202104,서울특별시,종로구,28,8
202104,서울특별시,종로구,29,11
202104,서울특별시,종로구,30,15
202104,서울특별시,종로구,31,18
202104,서울특별시,종로구,32,10
202104,서울특별시,종로구,33,15
202104,서울특별시,종로구,34,20
202104,서울특별시,종로구,35,12
202104,서울특별시,종로구,36,15
202104,서울특별시,종로구,37,26
202104,서울특별시,종로구,38,12
202104,서울특별시,종로구,39,23
202104,서울특별시,종로구,40,16
202104,서울특별시,종로구,41,30
202104,서울특별시,종로구,42,30
202104,서울특별시,종로구,43,32
202104,서울특별시,종로구,44,32
202104,서울특별시,종로구,45,32
202104,서울특별시,종로구,46,43
202104,서울특별시,종로구,47,54
202104,서울특별시,종로구,48,57
202104,서울특별시,종로구,49,60
202104,서울특별시,종로구,50,83
202104,서울특별시,종로구,51,51
202104,서울특별시,종로구,52,90
202104,서울특별시,종로구,53,81
202104,서울특별시,종로구,54,84
202104,서울특별시,종로구,55,103
202104,서울특별시,종로구,56,109
202104,서울특별시,종로구,57,99
202104,서울특별시,종로구,58,101
202104,서울특별시,종로구,59,130
202104,서울특별시,종로구,60,139
202104,서울특별시,종로구,61,108
202104,서울특별시,종로구,62,119
202104,서울특별시,종로구,63,130
202104,서울특별시,종로구,64,113
202104,서울특별시,종로구,65,126
202104,서울특별시,종로구,66,154
202104,서울특별시,종로구,67,119
202104,서울특별시,종로구,68,107
202104,서울특별시,종로구,69,105
202104,서울특별시,종로구,70,97
202104,서울특별시,종로구,71,87
202104,서울특별시,종로구,72,97
202104,서울특별시,종로구,73,99
202104,서울특별시,종로구,74,97
202104,서울특별시,종로구,75,79
202104,서울특별시,종로구,76,81
202104,서울특별시,종로구,77,83
202104,서울특별시,종로구,78,114
202104,서울특별시,종로구,79,103
202104,서울특별시,종로구,80,69
202104,서울특별시,종로구,81,74
202104,서울특별시,종로구,82,70
202104,서울특별시,종로구,83,54
202104,서울특별시,종로구,84,56
202104,서울특별시,종로구,85,41
202104,서울특별시,종로구,86,32
202104,서울특별시,종로구,87,25
202104,서울특별시,종로구,88,20
202104,서울특별시,종로구,89,24
202104,서울특별시,종로구,90,16
202104,서울특별시,종로구,91,15
202104,서울특별시,종로구,92,13
202104,서울특별시,종로구,93,9
202104,서울특별시,종로구,94,8
202104,서울특별시,종로구,95,5
202104,서울특별시,종로구,96,2
202104,서울특별시,종로구,97,3
202104,서울특별시,종로구,98,3
202104,서울특별시,종로구,99,1
202104,서울특별시,종로구,101,1
202104,서울특별시,종로구,103,1
202104,서울특별시,종로구,106,1
202104,서울특별시,중구,0,2
202104,서울특별시,중구,1,8
202104,서울특별시,중구,2,5
202104,서울특별시,중구,3,7
202104,서울특별시,중구,4,10
202104,서울특별시,중구,5,13
202104,서울특별시,중구,6,13
202104,서울특별시,중구,7,24
202104,서울특별시,중구,8,20
202104,서울특별시,중구,9,31
202104,서울특별시,중구,10,37
202104,서울특별시,중구,11,26
202104,서울특별시,중구,12,36
202104,서울특별시,중구,13,43
202104,서울특별시,중구,14,45
202104,서울특별시,중구,15,36
202104,서울특별시,중구,16,51
202104,서울특별시,중구,17,54
202104,서울특별시,중구,18,48
202104,서울특별시,중구,19,34
202104,서울특별시,중구,20,29
202104,서울특별시,중구,21,28
202104,서울특별시,중구,22,28
202104,서울특별시,중구,23,32
202104,서울특별시,중구,24,21
202104,서울특별시,중구,25,19
202104,서울특별시,중구,26,13
202104,서울특별시,중구,27,13
202104,서울특별시,중구,28,18
202104,서울특별시,중구,29,12
202104,서울특별시,중구,30,17
202104,서울특별시,중구,31,18
202104,서울특별시,중구,32,14
202104,서울특별시,중구,33,17
202104,서울특별시,중구,34,14
202104,서울특별시,중구,35,12
202104,서울특별시,중구,36,22
202104,서울특별시,중구,37,19
202104,서울특별시,중구,38,23
202104,서울특별시,중구,39,25
202104,서울특별시,중구,40,25
202104,서울특별시,중구,41,25
202104,서울특별시,중구,42,27
202104,서울특별시,중구,43,29
202104,서울특별시,중구,44,38
202104,서울특별시,중구,45,50
202104,서울특별시,중구,46,53
202104,서울특별시,중구,47,54
202104,서울특별시,중구,48,72
202104,서울특별시,중구,49,59
202104,서울특별시,중구,50,70
202104,서울특별시,중구,51,79
202104,서울특별시,중구,52,71
202104,서울특별시,중구,53,99
202104,서울특별시,중구,54,85
202104,서울특별시,중구,55,83
202104,서울특별시,중구,56,87
202104,서울특별시,중구,57,101
202104,서울특별시,중구,58,148
202104,서울특별시,중구,59,107
202104,서울특별시,중구,60,149
202104,서울특별시,중구,61,139
202104,서울특별시,중구,62,130
202104,서울특별시,중구,63,104
202104,서울특별시,중구,64,106
202104,서울특별시,중구,65,147
202104,서울특별시,중구,66,161
202104,서울특별시,중구,67,139
202104,서울특별시,중구,68,152
202104,서울특별시,중구,69,121
202104,서울특별시,중구,70,119
202104,서울특별시,중구,71,134
202104,서울특별시,중구,72,119
202104,서울특별시,중구,73,120
202104,서울특별시,중구,74,101
202104,서울특별시,중구,75,86
202104,서울특별시,중구,76,99
202104,서울특별시,중구,77,102
