통계연월,통계시도명,통계시군구명,연령,수급자수
202203,서울특별시,종로구,1,5
202203,서울특별시,종로구,2,8
202203,서울특별시,종로구,3,7
202203,서울특별시,종로구,4,5
202203,서울특별시,종로구,5,7
202203,서울특별시,종로구,6,7
202203,서울특별시,종로구,7,15
202203,서울특별시,종로구,8,9
202203,서울특별시,종로구,9,17
202203,서울특별시,종로구,10,24
202203,서울특별시,종로구,11,26
202203,서울특별시,종로구,12,18
202203,서울특별시,종로구,13,38
202203,서울특별시,종로구,14,31
202203,서울특별시,종로구,15,40
202203,서울특별시,종로구,16,33
202203,서울특별시,종로구,17,40
202203,서울특별시,종로구,18,37
202203,서울특별시,종로구,19,33
202203,서울특별시,종로구,20,30
202203,서울특별시,종로구,21,19
202203,서울특별시,종로구,22,24
202203,서울특별시,종로구,23,16
202203,서울특별시,종로구,24,23
202203,서울특별시,종로구,25,14
202203,서울특별시,종로구,26,19
202203,서울특별시,종로구,27,13
202203,서울특별시,종로구,28,14
202203,서울특별시,종로구,29,10
202203,서울특별시,종로구,30,9
202203,서울특별시,종로구,31,17
202203,서울특별시,종로구,32,20
202203,서울특별시,종로구,33,13
202203,서울특별시,종로구,34,20
202203,서울특별시,종로구,35,22
202203,서울특별시,종로구,36,18
202203,서울특별시,종로구,37,21
202203,서울특별시,종로구,38,20
202203,서울특별시,종로구,39,15
202203,서울특별시,종로구,40,27
202203,서울특별시,종로구,41,20
202203,서울특별시,종로구,42,33
202203,서울특별시,종로구,43,36
202203,서울특별시,종로구,44,32
202203,서울특별시,종로구,45,28
202203,서울특별시,종로구,46,34
202203,서울특별시,종로구,47,53
202203,서울특별시,종로구,48,61
202203,서울특별시,종로구,49,53
202203,서울특별시,종로구,50,64
202203,서울특별시,종로구,51,75
202203,서울특별시,종로구,52,72
202203,서울특별시,종로구,53,97
202203,서울특별시,종로구,54,86
202203,서울특별시,종로구,55,90
202203,서울특별시,종로구,56,117
202203,서울특별시,종로구,57,118
202203,서울특별시,종로구,58,107
202203,서울특별시,종로구,59,105
202203,서울특별시,종로구,60,144
202203,서울특별시,종로구,61,150
202203,서울특별시,종로구,62,114
202203,서울특별시,종로구,63,129
202203,서울특별시,종로구,64,136
202203,서울특별시,종로구,65,139
202203,서울특별시,종로구,66,140
202203,서울특별시,종로구,67,158
202203,서울특별시,종로구,68,115
202203,서울특별시,종로구,69,122
202203,서울특별시,종로구,70,108
202203,서울특별시,종로구,71,94
202203,서울특별시,종로구,72,94
202203,서울특별시,종로구,73,102
202203,서울특별시,종로구,74,105
202203,서울특별시,종로구,75,106
202203,서울특별시,종로구,76,89
202203,서울특별시,종로구,77,81
202203,서울특별시,종로구,78,86
202203,서울특별시,종로구,79,117
202203,서울특별시,종로구,80,97
202203,서울특별시,종로구,81,70
202203,서울특별시,종로구,82,77
202203,서울특별시,종로구,83,73
202203,서울특별시,종로구,84,57
