통계연월,통계시도명,통계시군구명,연령,수급자수
202101,서울특별시,종로구,0,2
202101,서울특별시,종로구,1,5
202101,서울특별시,종로구,2,6
202101,서울특별시,종로구,3,5
202101,서울특별시,종로구,4,5
202101,서울특별시,종로구,5,9
202101,서울특별시,종로구,6,5
202101,서울특별시,종로구,7,5
202101,서울특별시,종로구,8,19
202101,서울특별시,종로구,9,20
202101,서울특별시,종로구,10,26
202101,서울특별시,종로구,11,21
202101,서울특별시,종로구,12,39
202101,서울특별시,종로구,13,36
202101,서울특별시,종로구,14,35
202101,서울특별시,종로구,15,33
202101,서울특별시,종로구,16,40
202101,서울특별시,종로구,17,49
202101,서울특별시,종로구,18,54
202101,서울특별시,종로구,19,34
202101,서울특별시,종로구,20,19
202101,서울특별시,종로구,21,27
202101,서울특별시,종로구,22,20
202101,서울특별시,종로구,23,25
202101,서울특별시,종로구,24,18
202101,서울특별시,종로구,25,21
202101,서울특별시,종로구,26,9
202101,서울특별시,종로구,27,15
202101,서울특별시,종로구,28,14
202101,서울특별시,종로구,29,7
202101,서울특별시,종로구,30,15
202101,서울특별시,종로구,31,19
202101,서울특별시,종로구,32,14
202101,서울특별시,종로구,33,9
202101,서울특별시,종로구,34,17
202101,서울특별시,종로구,35,13
202101,서울특별시,종로구,36,18
202101,서울특별시,종로구,37,20
202101,서울특별시,종로구,38,21
202101,서울특별시,종로구,39,18
202101,서울특별시,종로구,40,16
202101,서울특별시,종로구,41,24
202101,서울특별시,종로구,42,30
202101,서울특별시,종로구,43,35
202101,서울특별시,종로구,44,23
202101,서울특별시,종로구,45,36
202101,서울특별시,종로구,46,46
202101,서울특별시,종로구,47,46
202101,서울특별시,종로구,48,54
202101,서울특별시,종로구,49,73
202101,서울특별시,종로구,50,72
202101,서울특별시,종로구,51,57
202101,서울특별시,종로구,52,88
202101,서울특별시,종로구,53,79
202101,서울특별시,종로구,54,90
202101,서울특별시,종로구,55,106
202101,서울특별시,종로구,56,111
202101,서울특별시,종로구,57,85
202101,서울특별시,종로구,58,110
202101,서울특별시,종로구,59,115
202101,서울특별시,종로구,60,143
202101,서울특별시,종로구,61,93
202101,서울특별시,종로구,62,109
202101,서울특별시,종로구,63,127
202101,서울특별시,종로구,64,110
202101,서울특별시,종로구,65,139
202101,서울특별시,종로구,66,129
202101,서울특별시,종로구,67,102
202101,서울특별시,종로구,68,105
202101,서울특별시,종로구,69,88
202101,서울특별시,종로구,70,88
202101,서울특별시,종로구,71,84
202101,서울특별시,종로구,72,100
202101,서울특별시,종로구,73,85
202101,서울특별시,종로구,74,82
202101,서울특별시,종로구,75,81
202101,서울특별시,종로구,76,77
202101,서울특별시,종로구,77,83
202101,서울특별시,종로구,78,114
202101,서울특별시,종로구,79,89
202101,서울특별시,종로구,80,64
202101,서울특별시,종로구,81,70
202101,서울특별시,종로구,82,58
202101,서울특별시,종로구,83,57
202101,서울특별시,종로구,84,41
202101,서울특별시,종로구,85,35
202101,서울특별시,종로구,86,33
202101,서울특별시,종로구,87,22
202101,서울특별시,종로구,88,20
202101,서울특별시,종로구,89,20
202101,서울특별시,종로구,90,14
202101,서울특별시,종로구,91,18
202101,서울특별시,종로구,92,8
202101,서울특별시,종로구,93,8
202101,서울특별시,종로구,94,6
202101,서울특별시,종로구,95,4
202101,서울특별시,종로구,96,3
202101,서울특별시,종로구,97,2
202101,서울특별시,종로구,98,2
202101,서울특별시,종로구,99,1
202101,서울특별시,종로구,103,1
202101,서울특별시,종로구,106,1
202101,서울특별시,중구,0,5
202101,서울특별시,중구,1,4
202101,서울특별시,중구,2,2
202101,서울특별시,중구,3,9
202101,서울특별시,중구,4,7
202101,서울특별시,중구,5,12
202101,서울특별시,중구,6,10
202101,서울특별시,중구,7,19
202101,서울특별시,중구,8,22
202101,서울특별시,중구,9,24
202101,서울특별시,중구,10,30
202101,서울특별시,중구,11,31
202101,서울특별시,중구,12,35
202101,서울특별시,중구,13,47
202101,서울특별시,중구,14,36
202101,서울특별시,중구,15,38
202101,서울특별시,중구,16,57
202101,서울특별시,중구,17,49
202101,서울특별시,중구,18,67
202101,서울특별시,중구,19,35
202101,서울특별시,중구,20,30
202101,서울특별시,중구,21,25
202101,서울특별시,중구,22,31
202101,서울특별시,중구,23,21
202101,서울특별시,중구,24,19
202101,서울특별시,중구,25,19
202101,서울특별시,중구,26,18
202101,서울특별시,중구,27,16
202101,서울특별시,중구,28,13
202101,서울특별시,중구,29,8
202101,서울특별시,중구,30,10
202101,서울특별시,중구,31,17
202101,서울특별시,중구,32,13
202101,서울특별시,중구,33,18
202101,서울특별시,중구,34,12
202101,서울특별시,중구,35,16
202101,서울특별시,중구,36,16
202101,서울특별시,중구,37,18
202101,서울특별시,중구,38,20
202101,서울특별시,중구,39,18
202101,서울특별시,중구,40,31
202101,서울특별시,중구,41,22
202101,서울특별시,중구,42,23
202101,서울특별시,중구,43,36
202101,서울특별시,중구,44,33
202101,서울특별시,중구,45,52
202101,서울특별시,중구,46,62
202101,서울특별시,중구,47,48
202101,서울특별시,중구,48,61
202101,서울특별시,중구,49,58
202101,서울특별시,중구,50,75
202101,서울특별시,중구,51,64
202101,서울특별시,중구,52,74
202101,서울특별시,중구,53,98
202101,서울특별시,중구,54,75
202101,서울특별시,중구,55,85
202101,서울특별시,중구,56,81
202101,서울특별시,중구,57,109
202101,서울특별시,중구,58,117
202101,서울특별시,중구,59,106
202101,서울특별시,중구,60,149
