"행정구역","2016년07월_전체세대","2016년07월_1인세대","2016년07월_2인세대","2016년07월_3인세대","2016년07월_4인세대","2016년07월_5인세대","2016년07월_6인세대","2016년07월_7인세대","2016년07월_8인세대","2016년07월_9인세대","2016년07월_10인이상세대","2016년08월_전체세대","2016년08월_1인세대","2016년08월_2인세대","2016년08월_3인세대","2016년08월_4인세대","2016년08월_5인세대","2016년08월_6인세대","2016년08월_7인세대","2016년08월_8인세대","2016년08월_9인세대","2016년08월_10인이상세대","2016년09월_전체세대","2016년09월_1인세대","2016년09월_2인세대","2016년09월_3인세대","2016년09월_4인세대","2016년09월_5인세대","2016년09월_6인세대","2016년09월_7인세대","2016년09월_8인세대","2016년09월_9인세대","2016년09월_10인이상세대","2016년10월_전체세대","2016년10월_1인세대","2016년10월_2인세대","2016년10월_3인세대","2016년10월_4인세대","2016년10월_5인세대","2016년10월_6인세대","2016년10월_7인세대","2016년10월_8인세대","2016년10월_9인세대","2016년10월_10인이상세대","2016년11월_전체세대","2016년11월_1인세대","2016년11월_2인세대","2016년11월_3인세대","2016년11월_4인세대","2016년11월_5인세대","2016년11월_6인세대","2016년11월_7인세대","2016년11월_8인세대","2016년11월_9인세대","2016년11월_10인이상세대","2016년12월_전체세대","2016년12월_1인세대","2016년12월_2인세대","2016년12월_3인세대","2016년12월_4인세대","2016년12월_5인세대","2016년12월_6인세대","2016년12월_7인세대","2016년12월_8인세대","2016년12월_9인세대","2016년12월_10인이상세대","2017년01월_전체세대","2017년01월_1인세대","2017년01월_2인세대","2017년01월_3인세대","2017년01월_4인세대","2017년01월_5인세대","2017년01월_6인세대","2017년01월_7인세대","2017년01월_8인세대","2017년01월_9인세대","2017년01월_10인이상세대","2017년02월_전체세대","2017년02월_1인세대","2017년02월_2인세대","2017년02월_3인세대","2017년02월_4인세대","2017년02월_5인세대","2017년02월_6인세대","2017년02월_7인세대","2017년02월_8인세대","2017년02월_9인세대","2017년02월_10인이상세대","2017년03월_전체세대","2017년03월_1인세대","2017년03월_2인세대","2017년03월_3인세대","2017년03월_4인세대","2017년03월_5인세대","2017년03월_6인세대","2017년03월_7인세대","2017년03월_8인세대","2017년03월_9인세대","2017년03월_10인이상세대","2017년04월_전체세대","2017년04월_1인세대","2017년04월_2인세대","2017년04월_3인세대","2017년04월_4인세대","2017년04월_5인세대","2017년04월_6인세대","2017년04월_7인세대","2017년04월_8인세대","2017년04월_9인세대","2017년04월_10인이상세대","2017년05월_전체세대","2017년05월_1인세대","2017년05월_2인세대","2017년05월_3인세대","2017년05월_4인세대","2017년05월_5인세대","2017년05월_6인세대","2017년05월_7인세대","2017년05월_8인세대","2017년05월_9인세대","2017년05월_10인이상세대","2017년06월_전체세대","2017년06월_1인세대","2017년06월_2인세대","2017년06월_3인세대","2017년06월_4인세대","2017년06월_5인세대","2017년06월_6인세대","2017년06월_7인세대","2017년06월_8인세대","2017년06월_9인세대","2017년06월_10인이상세대","2017년07월_전체세대","2017년07월_1인세대","2017년07월_2인세대","2017년07월_3인세대","2017년07월_4인세대","2017년07월_5인세대","2017년07월_6인세대","2017년07월_7인세대","2017년07월_8인세대","2017년07월_9인세대","2017년07월_10인이상세대","2017년08월_전체세대","2017년08월_1인세대","2017년08월_2인세대","2017년08월_3인세대","2017년08월_4인세대","2017년08월_5인세대","2017년08월_6인세대","2017년08월_7인세대","2017년08월_8인세대","2017년08월_9인세대","2017년08월_10인이상세대","2017년09월_전체세대","2017년09월_1인세대","2017년09월_2인세대","2017년09월_3인세대","2017년09월_4인세대","2017년09월_5인세대","2017년09월_6인세대","2017년09월_7인세대","2017년09월_8인세대","2017년09월_9인세대","2017년09월_10인이상세대","2017년10월_전체세대","2017년10월_1인세대","2017년10월_2인세대","2017년10월_3인세대","2017년10월_4인세대","2017년10월_5인세대","2017년10월_6인세대","2017년10월_7인세대","2017년10월_8인세대","2017년10월_9인세대","2017년10월_10인이상세대","2017년11월_전체세대","2017년11월_1인세대","2017년11월_2인세대","2017년11월_3인세대","2017년11월_4인세대","2017년11월_5인세대","2017년11월_6인세대","2017년11월_7인세대","2017년11월_8인세대","2017년11월_9인세대","2017년11월_10인이상세대","2017년12월_전체세대","2017년12월_1인세대","2017년12월_2인세대","2017년12월_3인세대","2017년12월_4인세대","2017년12월_5인세대","2017년12월_6인세대","2017년12월_7인세대","2017년12월_8인세대","2017년12월_9인세대","2017년12월_10인이상세대","2018년01월_전체세대","2018년01월_1인세대","2018년01월_2인세대","2018년01월_3인세대","2018년01월_4인세대","2018년01월_5인세대","2018년01월_6인세대","2018년01월_7인세대","2018년01월_8인세대","2018년01월_9인세대","2018년01월_10인이상세대","2018년02월_전체세대","2018년02월_1인세대","2018년02월_2인세대","2018년02월_3인세대","2018년02월_4인세대","2018년02월_5인세대","2018년02월_6인세대","2018년02월_7인세대","2018년02월_8인세대","2018년02월_9인세대","2018년02월_10인이상세대","2018년03월_전체세대","2018년03월_1인세대","2018년03월_2인세대","2018년03월_3인세대","2018년03월_4인세대","2018년03월_5인세대","2018년03월_6인세대","2018년03월_7인세대","2018년03월_8인세대","2018년03월_9인세대","2018년03월_10인이상세대","2018년04월_전체세대","2018년04월_1인세대","2018년04월_2인세대","2018년04월_3인세대","2018년04월_4인세대","2018년04월_5인세대","2018년04월_6인세대","2018년04월_7인세대","2018년04월_8인세대","2018년04월_9인세대","2018년04월_10인이상세대","2018년05월_전체세대","2018년05월_1인세대","2018년05월_2인세대","2018년05월_3인세대","2018년05월_4인세대","2018년05월_5인세대","2018년05월_6인세대","2018년05월_7인세대","2018년05월_8인세대","2018년05월_9인세대","2018년05월_10인이상세대","2018년06월_전체세대","2018년06월_1인세대","2018년06월_2인세대","2018년06월_3인세대","2018년06월_4인세대","2018년06월_5인세대","2018년06월_6인세대","2018년06월_7인세대","2018년06월_8인세대","2018년06월_9인세대","2018년06월_10인이상세대","2018년07월_전체세대","2018년07월_1인세대","2018년07월_2인세대","2018년07월_3인세대","2018년07월_4인세대","2018년07월_5인세대","2018년07월_6인세대","2018년07월_7인세대","2018년07월_8인세대","2018년07월_9인세대","2018년07월_10인이상세대","2018년08월_전체세대","2018년08월_1인세대","2018년08월_2인세대","2018년08월_3인세대","2018년08월_4인세대","2018년08월_5인세대","2018년08월_6인세대","2018년08월_7인세대","2018년08월_8인세대","2018년08월_9인세대","2018년08월_10인이상세대","2018년09월_전체세대","2018년09월_1인세대","2018년09월_2인세대","2018년09월_3인세대","2018년09월_4인세대","2018년09월_5인세대","2018년09월_6인세대","2018년09월_7인세대","2018년09월_8인세대","2018년09월_9인세대","2018년09월_10인이상세대","2018년10월_전체세대","2018년10월_1인세대","2018년10월_2인세대","2018년10월_3인세대","2018년10월_4인세대","2018년10월_5인세대","2018년10월_6인세대","2018년10월_7인세대","2018년10월_8인세대","2018년10월_9인세대","2018년10월_10인이상세대","2018년11월_전체세대","2018년11월_1인세대","2018년11월_2인세대","2018년11월_3인세대","2018년11월_4인세대","2018년11월_5인세대","2018년11월_6인세대","2018년11월_7인세대","2018년11월_8인세대","2018년11월_9인세대","2018년11월_10인이상세대","2018년12월_전체세대","2018년12월_1인세대","2018년12월_2인세대","2018년12월_3인세대","2018년12월_4인세대","2018년12월_5인세대","2018년12월_6인세대","2018년12월_7인세대","2018년12월_8인세대","2018년12월_9인세대","2018년12월_10인이상세대","2019년01월_전체세대","2019년01월_1인세대","2019년01월_2인세대","2019년01월_3인세대","2019년01월_4인세대","2019년01월_5인세대","2019년01월_6인세대","2019년01월_7인세대","2019년01월_8인세대","2019년01월_9인세대","2019년01월_10인이상세대","2019년02월_전체세대","2019년02월_1인세대","2019년02월_2인세대","2019년02월_3인세대","2019년02월_4인세대","2019년02월_5인세대","2019년02월_6인세대","2019년02월_7인세대","2019년02월_8인세대","2019년02월_9인세대","2019년02월_10인이상세대","2019년03월_전체세대","2019년03월_1인세대","2019년03월_2인세대","2019년03월_3인세대","2019년03월_4인세대","2019년03월_5인세대","2019년03월_6인세대","2019년03월_7인세대","2019년03월_8인세대","2019년03월_9인세대","2019년03월_10인이상세대","2019년04월_전체세대","2019년04월_1인세대","2019년04월_2인세대","2019년04월_3인세대","2019년04월_4인세대","2019년04월_5인세대","2019년04월_6인세대","2019년04월_7인세대","2019년04월_8인세대","2019년04월_9인세대","2019년04월_10인이상세대","2019년05월_전체세대","2019년05월_1인세대","2019년05월_2인세대","2019년05월_3인세대","2019년05월_4인세대","2019년05월_5인세대","2019년05월_6인세대","2019년05월_7인세대","2019년05월_8인세대","2019년05월_9인세대","2019년05월_10인이상세대","2019년06월_전체세대","2019년06월_1인세대","2019년06월_2인세대","2019년06월_3인세대","2019년06월_4인세대","2019년06월_5인세대","2019년06월_6인세대","2019년06월_7인세대","2019년06월_8인세대","2019년06월_9인세대","2019년06월_10인이상세대","2019년07월_전체세대","2019년07월_1인세대","2019년07월_2인세대","2019년07월_3인세대","2019년07월_4인세대","2019년07월_5인세대","2019년07월_6인세대","2019년07월_7인세대","2019년07월_8인세대","2019년07월_9인세대","2019년07월_10인이상세대","2019년08월_전체세대","2019년08월_1인세대","2019년08월_2인세대","2019년08월_3인세대","2019년08월_4인세대","2019년08월_5인세대","2019년08월_6인세대","2019년08월_7인세대","2019년08월_8인세대","2019년08월_9인세대","2019년08월_10인이상세대","2019년09월_전체세대","2019년09월_1인세대","2019년09월_2인세대","2019년09월_3인세대","2019년09월_4인세대","2019년09월_5인세대","2019년09월_6인세대","2019년09월_7인세대","2019년09월_8인세대","2019년09월_9인세대","2019년09월_10인이상세대","2019년10월_전체세대","2019년10월_1인세대","2019년10월_2인세대","2019년10월_3인세대","2019년10월_4인세대","2019년10월_5인세대","2019년10월_6인세대","2019년10월_7인세대","2019년10월_8인세대","2019년10월_9인세대","2019년10월_10인이상세대","2019년11월_전체세대","2019년11월_1인세대","2019년11월_2인세대","2019년11월_3인세대","2019년11월_4인세대","2019년11월_5인세대","2019년11월_6인세대","2019년11월_7인세대","2019년11월_8인세대","2019년11월_9인세대","2019년11월_10인이상세대","2019년12월_전체세대","2019년12월_1인세대","2019년12월_2인세대","2019년12월_3인세대","2019년12월_4인세대","2019년12월_5인세대","2019년12월_6인세대","2019년12월_7인세대","2019년12월_8인세대","2019년12월_9인세대","2019년12월_10인이상세대","2020년01월_전체세대","2020년01월_1인세대","2020년01월_2인세대","2020년01월_3인세대","2020년01월_4인세대","2020년01월_5인세대","2020년01월_6인세대","2020년01월_7인세대","2020년01월_8인세대","2020년01월_9인세대","2020년01월_10인이상세대","2020년02월_전체세대","2020년02월_1인세대","2020년02월_2인세대","2020년02월_3인세대","2020년02월_4인세대","2020년02월_5인세대","2020년02월_6인세대","2020년02월_7인세대","2020년02월_8인세대","2020년02월_9인세대","2020년02월_10인이상세대","2020년03월_전체세대","2020년03월_1인세대","2020년03월_2인세대","2020년03월_3인세대","2020년03월_4인세대","2020년03월_5인세대","2020년03월_6인세대","2020년03월_7인세대","2020년03월_8인세대","2020년03월_9인세대","2020년03월_10인이상세대","2020년04월_전체세대","2020년04월_1인세대","2020년04월_2인세대","2020년04월_3인세대","2020년04월_4인세대","2020년04월_5인세대","2020년04월_6인세대","2020년04월_7인세대","2020년04월_8인세대","2020년04월_9인세대","2020년04월_10인이상세대","2020년05월_전체세대","2020년05월_1인세대","2020년05월_2인세대","2020년05월_3인세대","2020년05월_4인세대","2020년05월_5인세대","2020년05월_6인세대","2020년05월_7인세대","2020년05월_8인세대","2020년05월_9인세대","2020년05월_10인이상세대","2020년06월_전체세대","2020년06월_1인세대","2020년06월_2인세대","2020년06월_3인세대","2020년06월_4인세대","2020년06월_5인세대","2020년06월_6인세대","2020년06월_7인세대","2020년06월_8인세대","2020년06월_9인세대","2020년06월_10인이상세대","2020년07월_전체세대","2020년07월_1인세대","2020년07월_2인세대","2020년07월_3인세대","2020년07월_4인세대","2020년07월_5인세대","2020년07월_6인세대","2020년07월_7인세대","2020년07월_8인세대","2020년07월_9인세대","2020년07월_10인이상세대","2020년08월_전체세대","2020년08월_1인세대","2020년08월_2인세대","2020년08월_3인세대","2020년08월_4인세대","2020년08월_5인세대","2020년08월_6인세대","2020년08월_7인세대","2020년08월_8인세대","2020년08월_9인세대","2020년08월_10인이상세대","2020년09월_전체세대","2020년09월_1인세대","2020년09월_2인세대","2020년09월_3인세대","2020년09월_4인세대","2020년09월_5인세대","2020년09월_6인세대","2020년09월_7인세대","2020년09월_8인세대","2020년09월_9인세대","2020년09월_10인이상세대","2020년10월_전체세대","2020년10월_1인세대","2020년10월_2인세대","2020년10월_3인세대","2020년10월_4인세대","2020년10월_5인세대","2020년10월_6인세대","2020년10월_7인세대","2020년10월_8인세대","2020년10월_9인세대","2020년10월_10인이상세대","2020년11월_전체세대","2020년11월_1인세대","2020년11월_2인세대","2020년11월_3인세대","2020년11월_4인세대","2020년11월_5인세대","2020년11월_6인세대","2020년11월_7인세대","2020년11월_8인세대","2020년11월_9인세대","2020년11월_10인이상세대","2020년12월_전체세대","2020년12월_1인세대","2020년12월_2인세대","2020년12월_3인세대","2020년12월_4인세대","2020년12월_5인세대","2020년12월_6인세대","2020년12월_7인세대","2020년12월_8인세대","2020년12월_9인세대","2020년12월_10인이상세대","2021년01월_전체세대","2021년01월_1인세대","2021년01월_2인세대","2021년01월_3인세대","2021년01월_4인세대","2021년01월_5인세대","2021년01월_6인세대","2021년01월_7인세대","2021년01월_8인세대","2021년01월_9인세대","2021년01월_10인이상세대","2021년02월_전체세대","2021년02월_1인세대","2021년02월_2인세대","2021년02월_3인세대","2021년02월_4인세대","2021년02월_5인세대","2021년02월_6인세대","2021년02월_7인세대","2021년02월_8인세대","2021년02월_9인세대","2021년02월_10인이상세대","2021년03월_전체세대","2021년03월_1인세대","2021년03월_2인세대","2021년03월_3인세대","2021년03월_4인세대","2021년03월_5인세대","2021년03월_6인세대","2021년03월_7인세대","2021년03월_8인세대","2021년03월_9인세대","2021년03월_10인이상세대"
"충청남도 충청남도 아산시 (4420000000)","124,037","45,084","24,594","21,312","23,926","7,093","1,523","355","106","20","24","124,147","45,109","24,629","21,350","23,935","7,083","1,521","365","108","22","25","124,141","45,125","24,641","21,358","23,914","7,065","1,511","372","106","24","25","124,134","45,107","24,641","21,378","23,935","7,031","1,501","381","108","27","25","124,102","45,105","24,709","21,342","23,883","7,000","1,516","384","110","30","23","124,223","45,093","24,801","21,368","23,889","7,013","1,518","372","113","30","26","124,313","45,144","24,846","21,360","23,885","7,026","1,516","370","111","30","25","124,736","45,428","24,965","21,427","23,874","6,997","1,504","371","114","29","27","125,252","45,644","25,078","21,603","23,916","6,978","1,489","378","111","28","27","125,709","45,819","25,211","21,677","23,958","7,010","1,494","380","108","26","26","126,197","46,016","25,357","21,791","23,976","7,019","1,512","366","108","27","25","126,696","46,260","25,470","21,879","24,032","7,025","1,500","374","105","26","25","127,132","46,483","25,538","21,977","24,067","7,042","1,502","374","98","27","24","127,536","46,768","25,634","22,024","24,026","7,050","1,512","372","96","29","25","127,986","46,957","25,780","22,124","24,052","7,039","1,514","371","96","30","23","128,387","47,169","25,903","22,175","24,070","7,032","1,525","365","95","30","23","128,733","47,338","26,008","22,286","24,047","7,008","1,533","366","97","29","21","129,188","47,597","26,172","22,332","24,029","7,042","1,509","358","98","26","25","129,496","47,806","26,315","22,309","24,049","7,033","1,491","344","98","25","26","129,670","47,991","26,401","22,346","23,948","7,012","1,490","331","99","25","27","129,916","48,149","26,525","22,374","23,932","7,004","1,459","323","99","24","27","130,178","48,373","26,652","22,325","23,914","6,989","1,438","334","103","24","26","130,240","48,388","26,719","22,374","23,898","6,954","1,423","333","105","20","26","130,422","48,498","26,791","22,379","23,922","6,939","1,415","330","104","19","25","130,556","48,690","26,816","22,346","23,869","6,948","1,414","328","103","18","24","130,844","48,989","26,875","22,366","23,818","6,923","1,406","326","97","19","25","131,074","49,279","26,911","22,323","23,798","6,895","1,400","328","95","19","26","131,204","49,426","26,938","22,366","23,727","6,871","1,404","330","96","19","27","131,667","49,826","27,046","22,380","23,685","6,861","1,398","331","93","21","26","132,159","50,253","27,162","22,385","23,618","6,875","1,394","327","94","25","26","132,655","50,703","27,262","22,383","23,591","6,877","1,380","320","91","23","25","133,114","51,166","27,379","22,410","23,498","6,819","1,378","321","94","24","25","133,409","51,428","27,459","22,464","23,428","6,793","1,369","327","95","23","23","133,555","51,531","27,499","22,547","23,379","6,770","1,368","318","93","27","23","133,787","51,724","27,599","22,557","23,335","6,764","1,345","315","96","27","25","134,028","51,968","27,626","22,568","23,334","6,734","1,348","304","96","26","24","134,168","52,105","27,632","22,607","23,324","6,717","1,344","294","94","26","25","134,382","52,262","27,690","22,685","23,284","6,703","1,321","293","96","24","24","134,598","52,452","27,778","22,703","23,246","6,646","1,338","292","99","21","23","134,859","52,594","27,952","22,656","23,266","6,623","1,342","282","99","22","23","134,959","52,689","27,971","22,693","23,224","6,626","1,333","278","100","23","22","135,159","52,836","28,076","22,692","23,183","6,606","1,344","278","99","23","22","135,376","53,100","28,173","22,666","23,127","6,552","1,328","284","101","23","22","135,574","53,450","28,187","22,689","22,982","6,512","1,325","286","97","25","21","135,861","53,684","28,353","22,734","22,930","6,475","1,275","275","92","23","20","136,117","53,890","28,461","22,755","22,952","6,401","1,260","268","86","25","19","136,482","54,222","28,576","22,798","22,933","6,345","1,227","260","81","21","19","136,567","54,487","28,684","22,749","22,768","6,285","1,209","265","80","22","18","136,987","54,862","28,806","22,729","22,750","6,255","1,210","257","77","25","16","137,507","55,248","28,923","22,773","22,775","6,224","1,202","248","78","19","17","137,893","55,523","29,069","22,745","22,798","6,193","1,212","244","75","17","17","138,216","55,798","29,145","22,775","22,742","6,199","1,204","244","76","18","15","138,829","56,325","29,206","22,814","22,726","6,189","1,207","255","76","16","15","139,580","56,927","29,414","22,824","22,603","6,232","1,214","256","75","17","18","140,087","57,266","29,627","22,773","22,639","6,205","1,208","259","73","18","19","140,829","57,837","29,813","22,752","22,639","6,224","1,198","256","75","18","17","141,013","57,835","29,969","22,861","22,556","6,234","1,200","254","69","17","18"
"충청남도 아산시 염치읍(4420025000)","3,291","1,322","782","510","440","166","47","17","4","2","1","3,299","1,318","796","511","437","168","45","17","4","2","1","3,305","1,327","800","509","431","167","47","17","4","2","1","3,312","1,338","798","511","426","168","45","19","4","2","1","3,303","1,330","803","509","428","162","46","18","4","2","1","3,294","1,315","805","516","422","165","47","16","4","3","1","3,306","1,328","812","506","425","163","46","18","4","3","1","3,309","1,338","823","502","411","163","47","18","4","2","1","3,304","1,347","813","510","403","160","45","19","4","2","1","3,300","1,357","813","509","393","158","45","18","4","2","1","3,289","1,354","814","506","393","154","43","18","4","2","1","3,287","1,361","807","510","390","152","42","18","4","3","0","3,293","1,378","812","499","382","156","42","17","4","3","0","3,293","1,385","813","498","378","152","43","17","4","3","0","3,286","1,383","824","492","374","149","40","17","4","3","0","3,301","1,397","830","490","376","146","39","16","4","3","0","3,278","1,381","826","495","376","138","40","15","4","3","0","3,272","1,376","819","509","367","139","41","15","4","2","0","3,270","1,389","823","488","369","143","38","14","4","2","0","3,277","1,399","826","486","366","140","40","14","4","2","0","3,265","1,395","828","484","358","141","40","13","4","2","0","3,266","1,401","826","484","359","135","42","13","4","2","0","3,256","1,387","834","486","357","133","40","13","4","2","0","3,264","1,398","833","482","361","133","39","12","4","2","0","3,261","1,394","826","485","366","131","41","12","4","2","0","3,271","1,400","829","485","367","130","41","13","3","3","0","3,274","1,407","828","484","363","131","41","13","3","4","0","3,270","1,403","834","483","360","128","42","13","3","4","0","3,256","1,387","840","490","354","122","45","11","3","4","0","3,249","1,396","847","483","343","118","42","13","3","4","0","3,242","1,393","853","475","347","119","38","11","2","4","0","3,256","1,406","851","481","345","118","38","11","2","4","0","3,265","1,416","853","486","339","116","37","12","2","4","0","3,259","1,405","861","488","339","113","36","11","2","4","0","3,268","1,413","863","486","337","115","37","11","2","4","0","3,259","1,408","866","483","335","114","35","13","1","4","0","3,249","1,402","864","479","341","110","35","13","1","4","0","3,247","1,408","864","474","333","114","38","11","1","4","0","3,230","1,400","858","470","338","111","36","12","1","4","0","3,231","1,402","856","473","338","109","36","12","1","4","0","3,223","1,400","854","473","332","112","35","12","1","4","0","3,219","1,397","860","470","329","112","35","11","1","4","0","3,227","1,406","867","468","323","113","35","10","1","4","0","3,208","1,391","866","475","314","114","33","10","1","4","0","3,193","1,378","867","473","316","112","31","11","1","4","0","3,175","1,368","863","473","315","111","30","10","1","4","0","3,169","1,365","865","473","309","113","28","11","1","4","0","3,164","1,365","861","479","308","107","28","11","1","4","0","3,173","1,377","865","474","308","109","25","10","1","4","0","3,172","1,375","866","476","313","104","23","10","1","4","0","3,166","1,370","864","472","315","107","23","10","1","4","0","3,164","1,375","869","469","307","107","22","10","1","4","0","3,171","1,378","875","464","312","106","22","10","1","3","0","3,177","1,382","882","468","301","108","22","10","1","3","0","3,195","1,409","880","468","300","104","21","9","1","3","0","3,202","1,414","872","479","301","102","21","10","1","2","0","3,193","1,410","879","467","298","103","22","11","1","2","0"
"충청남도 아산시 배방읍(4420025300)","25,546","8,160","4,519","4,844","6,042","1,565","329","60","22","3","2","25,562","8,159","4,533","4,838","6,060","1,567","318","62","18","4","3","25,549","8,174","4,523","4,828","6,046","1,576","315","63","17","4","3","25,526","8,156","4,523","4,819","6,042","1,582","313","65","17","6","3","25,453","8,113","4,520","4,816","6,022","1,574","312","68","18","8","2","25,404","8,092","4,510","4,803","6,013","1,585","311","60","20","8","2","25,369","8,067","4,490","4,790","6,038","1,579","314","61","19","9","2","25,372","8,151","4,488","4,755","6,003","1,565","315","64","20","9","2","25,331","8,147","4,436","4,787","6,002","1,551","315","64","20","7","2","25,405","8,178","4,471","4,788","6,002","1,558","317","64","19","6","2","25,536","8,245","4,481","4,819","6,011","1,573","316","65","18","6","2","25,614","8,304","4,465","4,877","5,983","1,580","311","69","17","6","2","25,689","8,365","4,486","4,878","5,973","1,581","309","68","21","6","2","25,655","8,386","4,500","4,830","5,936","1,597","309","68","21","5","3","25,711","8,422","4,513","4,857","5,911","1,601","311","65","22","7","2","25,778","8,443","4,529","4,867","5,923","1,605","313","67","23","5","3","25,980","8,538","4,591","4,897","5,943","1,602","316","63","24","4","2","26,086","8,607","4,608","4,930","5,923","1,610","315","62","24","4","3","26,120","8,631","4,637","4,912","5,918","1,616","314","61","24","4","3","26,206","8,677","4,654","4,953","5,908","1,610","312","59","25","4","4","26,262","8,695","4,662","4,992","5,905","1,606","308","63","23","4","4","26,318","8,721","4,688","4,992","5,904","1,617","296","68","23","5","4","26,388","8,758","4,715","4,989","5,913","1,616","297","68","24","4","4","26,530","8,822","4,764","4,996","5,928","1,620","302","67","24","4","3","26,578","8,889","4,760","4,989","5,906","1,633","307","65","23","2","4","26,754","9,009","4,786","4,994","5,927","1,643","300","66","23","2","4","26,918","9,142","4,808","4,997","5,943","1,638","297","63","23","2","5","27,065","9,258","4,803","5,023","5,943","1,639","304","64","24","2","5","27,612","9,622","4,917","5,072","5,952","1,656","293","67","25","3","5","28,111","9,949","4,994","5,110","5,985","1,676","301","64","24","3","5","28,411","10,151","5,040","5,114","6,034","1,682","294","65","24","3","4","28,709","10,371","5,103","5,112","6,050","1,679","298","63","25","4","4","28,919","10,503","5,166","5,137","6,042","1,678","297","64","23","5","4","29,024","10,520","5,210","5,181","6,047","1,674","295","66","22","5","4","29,101","10,565","5,241","5,181","6,051","1,671","295","65","23","5","4","29,190","10,638","5,246","5,190","6,065","1,659","294","67","23","4","4","29,316","10,689","5,273","5,213","6,090","1,656","301","67","19","3","5","29,478","10,777","5,281","5,246","6,122","1,659","301","66","18","3","5","29,606","10,821","5,323","5,277","6,141","1,644","308","64","19","4","5","29,757","10,895","5,368","5,266","6,173","1,659","311","58","18","4","5","29,851","10,923","5,408","5,296","6,165","1,659","310","62","19","5","4","29,969","10,959","5,450","5,328","6,171","1,661","313","60","18","6","3","30,041","11,030","5,474","5,296","6,178","1,668","304","64","19","5","3","30,110","11,108","5,467","5,339","6,147","1,656","304","63","17","7","2","30,256","11,200","5,514","5,372","6,135","1,652","298","61","16","7","1","30,294","11,230","5,524","5,373","6,153","1,635","298","57","16","7","1","30,361","11,276","5,576","5,357","6,171","1,625","283","51","15","6","1","30,382","11,346","5,605","5,345","6,116","1,605","284","56","18","6","1","30,656","11,530","5,676","5,369","6,109","1,609","289","50","17","6","1","30,947","11,683","5,717","5,413","6,173","1,607","281","50","17","5","1","31,150","11,801","5,777","5,410","6,199","1,607","281","52","17","5","1","31,295","11,919","5,789","5,425","6,174","1,630","284","52","16","5","1","31,440","12,008","5,800","5,451","6,181","1,637","286","57","15","4","1","31,688","12,169","5,870","5,435","6,197","1,648","289","58","14","6","2","31,884","12,245","5,953","5,443","6,230","1,637","294","58","17","5","2","32,126","12,387","6,001","5,486","6,230","1,652","291","57","16","4","2","32,371","12,512","6,055","5,555","6,214","1,660","300","56","13","4","2"
"충청남도 아산시 송악면(4420031000)","1,826","697","496","265","213","105","36","12","1","0","1","1,822","685","500","270","210","106","36","12","2","0","1","1,826","685","497","273","208","113","34","13","1","1","1","1,830","687","499","275","207","110","35","14","1","1","1","1,835","689","502","276","207","110","35","13","1","1","1","1,834","679","505","281","207","113","36","10","1","0","2","1,837","679","507","289","205","109","35","10","1","0","2","1,840","673","519","285","208","107","35","9","2","1","1","1,846","671","520","288","215","103","35","10","2","1","1","1,854","676","522","286","217","104","34","11","2","1","1","1,858","681","522","287","216","106","32","10","3","0","1","1,865","690","522","284","216","110","28","10","4","0","1","1,865","691","522","285","219","105","30","10","1","0","2","1,864","691","520","289","218","102","32","9","1","0","2","1,879","705","521","284","221","105","32","8","1","0","2","1,880","711","523","276","222","105","32","8","1","1","1","1,877","709","518","280","225","103","32","8","1","0","1","1,883","714","518","282","223","104","32","8","1","0","1","1,892","729","506","288","225","101","33","8","1","0","1","1,894","727","509","289","224","101","34","8","1","0","1","1,897","725","518","287","223","100","34","8","1","0","1","1,904","731","523","287","218","101","33","9","1","0","1","1,908","737","523","289","215","100","32","10","1","0","1","1,909","736","527","286","218","100","31","8","2","0","1","1,913","740","533","280","219","101","28","9","2","0","1","1,921","752","533","278","220","100","27","8","2","0","1","1,926","751","537","278","222","101","26","8","2","0","1","1,932","758","536","280","224","95","27","9","2","0","1","1,933","755","538","282","223","96","28","8","2","0","1","1,929","746","547","275","228","94","28","8","2","0","1","1,924","740","548","276","228","93","28","8","2","0","1","1,925","742","550","276","223","95","28","8","2","0","1","1,922","745","551","274","216","96","29","8","2","0","1","1,928","743","560","275","216","95","28","8","2","0","1","1,931","748","560","275","215","95","27","8","2","0","1","1,931","742","557","273","220","99","30","7","2","0","1","1,927","737","549","282","220","97","31","7","3","0","1","1,930","735","561","277","217","98","31","7","3","0","1","1,932","737","563","275","217","96","33","8","2","0","1","1,927","732","560","279","219","91","35","8","2","0","1","1,932","733","559","291","214","90","34","8","2","0","1","1,931","735","563","283","216","88","33","9","3","0","1","1,918","730","561","281","212","91","30","8","3","1","1","1,923","739","561","277","211","91","31","9","3","0","1","1,925","747","558","274","210","98","26","8","3","0","1","1,923","746","558","274","211","95","28","7","3","0","1","1,925","749","561","267","216","93","28","8","2","0","1","1,930","759","562","264","211","96","27","9","1","0","1","1,928","754","568","261","211","96","28","7","1","1","1","1,929","757","566","264","211","95","28","7","0","0","1","1,934","755","568","269","212","92","29","8","0","0","1","1,929","753","572","262","215","90","28","8","1","0","0","1,931","750","574","263","215","91","29","7","2","0","0","1,943","755","581","265","217","88","29","7","0","0","1","1,945","760","589","252","218","89","28","8","0","0","1","1,954","767","589","258","212","90","28","8","1","0","1","1,935","757","584","248","218","89","27","10","1","0","1"
