읍면동,연도,항목,값
온양5동,2020,집단가구 (가구),5.0
온양5동,2020,외국인가구 (가구),635.0
온양5동,2020,주택_계 (호),8304.0
온양5동,2020,주택_단독주택 (호),1529.0
온양5동,2020,주택_아파트 (호),6098.0
온양5동,2020,주택_연립주택 (호),234.0
온양5동,2020,주택_다세대주택 (호),361.0
온양5동,2020,주택_비주거용 건물 내 주택 (호),82.0
온양5동,2020,주택 이외의 거처_계 (호),95.0
온양6동,2015,총인구 (명),25806.0
온양6동,2015,남자 (명),12706.0
온양6동,2015,여자 (명),13100.0
온양6동,2015,내국인-계 (명),25268.0
온양6동,2015,내국인-남자 (명),12445.0
온양6동,2015,내국인-여자 (명),12823.0
온양6동,2015,외국인-계 (명),538.0
온양6동,2015,외국인-남자 (명),261.0
온양6동,2015,외국인-여자 (명),277.0
온양6동,2015,가구-계 (가구),9699.0
온양6동,2015,일반가구 (가구),9578.0
온양6동,2015,집단가구 (가구),7.0
온양6동,2015,외국인가구 (가구),114.0
온양6동,2015,주택_계 (호),10187.0
온양6동,2015,주택_단독주택 (호),644.0
온양6동,2015,주택_아파트 (호),9346.0
온양6동,2015,주택_연립주택 (호),64.0
온양6동,2015,주택_다세대주택 (호),103.0
온양6동,2015,주택_비주거용 건물 내 주택 (호),30.0
온양6동,2015,주택 이외의 거처_계 (호),82.0
온양6동,2020,총인구 (명),28817.0
온양6동,2020,남자 (명),14185.0
온양6동,2020,여자 (명),14632.0
온양6동,2020,내국인-계 (명),28236.0
온양6동,2020,내국인-남자 (명),13959.0
온양6동,2020,내국인-여자 (명),14277.0
온양6동,2020,외국인-계 (명),581.0
온양6동,2020,외국인-남자 (명),226.0
온양6동,2020,외국인-여자 (명),355.0
온양6동,2020,가구-계 (가구),11588.0
온양6동,2020,일반가구 (가구),11438.0
온양6동,2020,집단가구 (가구),
온양6동,2020,외국인가구 (가구),146.0
온양6동,2020,주택_계 (호),12599.0
온양6동,2020,주택_단독주택 (호),637.0
온양6동,2020,주택_아파트 (호),11738.0
온양6동,2020,주택_연립주택 (호),64.0
온양6동,2020,주택_다세대주택 (호),132.0
온양6동,2020,주택_비주거용 건물 내 주택 (호),28.0
온양6동,2020,주택 이외의 거처_계 (호),109.0
