읍면동,연도,항목,값
탕정면,2020,내국인-남자 (명),12999.0
탕정면,2020,내국인-여자 (명),11107.0
탕정면,2020,외국인-계 (명),1261.0
탕정면,2020,외국인-남자 (명),547.0
탕정면,2020,외국인-여자 (명),714.0
탕정면,2020,가구-계 (가구),7834.0
탕정면,2020,일반가구 (가구),7684.0
탕정면,2020,집단가구 (가구),14.0
탕정면,2020,외국인가구 (가구),136.0
탕정면,2020,주택_계 (호),8548.0
탕정면,2020,주택_단독주택 (호),1588.0
탕정면,2020,주택_아파트 (호),6417.0
탕정면,2020,주택_연립주택 (호),
탕정면,2020,주택_다세대주택 (호),477.0
탕정면,2020,주택_비주거용 건물 내 주택 (호),66.0
탕정면,2020,주택 이외의 거처_계 (호),182.0
음봉면,2015,총인구 (명),17827.0
음봉면,2015,남자 (명),10106.0
음봉면,2015,여자 (명),7721.0
음봉면,2015,내국인-계 (명),16361.0
음봉면,2015,내국인-남자 (명),8975.0
음봉면,2015,내국인-여자 (명),7386.0
음봉면,2015,외국인-계 (명),1466.0
음봉면,2015,외국인-남자 (명),1131.0
음봉면,2015,외국인-여자 (명),335.0
음봉면,2015,가구-계 (가구),6273.0
음봉면,2015,일반가구 (가구),6015.0
음봉면,2015,집단가구 (가구),23.0
음봉면,2015,외국인가구 (가구),235.0
음봉면,2015,주택_계 (호),8626.0
음봉면,2015,주택_단독주택 (호),1611.0
음봉면,2015,주택_아파트 (호),6865.0
음봉면,2015,주택_연립주택 (호),34.0
음봉면,2015,주택_다세대주택 (호),77.0
음봉면,2015,주택_비주거용 건물 내 주택 (호),39.0
음봉면,2015,주택 이외의 거처_계 (호),284.0
음봉면,2020,총인구 (명),21423.0
음봉면,2020,남자 (명),12028.0
음봉면,2020,여자 (명),9395.0
음봉면,2020,내국인-계 (명),19860.0
음봉면,2020,내국인-남자 (명),10809.0
음봉면,2020,내국인-여자 (명),9051.0
음봉면,2020,외국인-계 (명),1563.0
음봉면,2020,외국인-남자 (명),1219.0
음봉면,2020,외국인-여자 (명),344.0
음봉면,2020,가구-계 (가구),8160.0
음봉면,2020,일반가구 (가구),7826.0
음봉면,2020,집단가구 (가구),21.0
음봉면,2020,외국인가구 (가구),313.0
음봉면,2020,주택_계 (호),9004.0
음봉면,2020,주택_단독주택 (호),1775.0
음봉면,2020,주택_아파트 (호),6885.0
음봉면,2020,주택_연립주택 (호),212.0
음봉면,2020,주택_다세대주택 (호),79.0
음봉면,2020,주택_비주거용 건물 내 주택 (호),53.0
음봉면,2020,주택 이외의 거처_계 (호),414.0
